Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-09 19:00:00-07:00,110.34333997717462,-5.263240776811343,138.3102616698073,42.48170796641926,37593.92281805307,0%
2025-03-09 19:01:00-07:00,110.59391059716134,-5.2624470105821874,138.31020330452372,42.48193837678904,37593.955506437494,0%
2025-03-09 19:02:00-07:00,110.84448034049038,-5.261653728555336,138.3101453427381,42.48216949638307,37593.98801105942,0%
2025-03-09 19:03:00-07:00,111.09504920947795,-5.260860945833069,138.3100877854622,42.482401320800946,37594.0203312972,0%
2025-03-09 19:04:00-07:00,111.3456172064452,-5.260068677508256,138.31003063370443,42.48263384563061,37594.05246653254,0%
2025-03-09 19:05:00-07:00,111.59618433374358,-5.259276938663998,138.30997388845884,42.482867066443006,37594.084416151025,0%
2025-03-09 19:06:00-07:00,111.8467505937235,-5.258485744373515,138.30991755072878,42.48310097880375,37594.116179541066,0%
2025-03-09 19:07:00-07:00,112.09731598877272,-5.25769510969956,138.3098616214863,42.483335578253275,37594.14775609567,0%
2025-03-09 19:08:00-07:00,112.34788052127658,-5.256905049694474,138.309806101717,42.48357086032905,37594.17914521061,0%
2025-03-09 19:09:00-07:00,112.59844419364384,-5.256115579399649,138.309750992391,42.48380682055135,37594.210346285516,0%
2025-03-09 19:10:00-07:00,112.84900700830255,-5.255326713845369,138.30969629446972,42.48404345442662,37594.24135872373,0%
2025-03-09 19:11:00-07:00,113.09956896769567,-5.254538468050387,138.30964200890045,42.48428075744507,37594.272181932494,0%
2025-03-09 19:12:00-07:00,113.35013007427159,-5.25375085702194,138.30958813664284,42.48451872509356,37594.30281532185,0%
2025-03-09 19:13:00-07:00,113.6006903305123,-5.252963895755064,138.30953467862665,42.48475735283511,37594.333258306375,0%
2025-03-09 19:14:00-07:00,113.8512497389038,-5.252177599232624,138.30948163578714,42.48499663612641,37594.36351030383,0%
2025-03-09 19:15:00-07:00,114.10180830194996,-5.251391982424896,138.3094290090501,42.48523657041026,37594.393570735716,0%
2025-03-09 19:16:00-07:00,114.35236602217469,-5.250607060289267,138.3093767993301,42.48547715111526,37594.42343902737,0%
2025-03-09 19:17:00-07:00,114.6029229021147,-5.24982284777003,138.30932500753303,42.485718373656745,37594.453114607735,0%
2025-03-09 19:18:00-07:00,114.8534789443152,-5.249039359798106,138.3092736345711,42.485960233444516,37594.482596909154,0%
2025-03-09 19:19:00-07:00,115.10403415135633,-5.248256611290565,138.3092226813216,42.486202725862476,37594.5118853685,0%
2025-03-09 19:20:00-07:00,115.35458852581594,-5.2474746171506235,138.3091721486781,42.48644584629411,37594.5409794256,0%
2025-03-09 19:21:00-07:00,115.60514207028892,-5.246693392267263,138.309122037524,42.486689590109314,37594.56987852403,0%
2025-03-09 19:22:00-07:00,115.85569478739907,-5.245912951514769,138.30907234872038,42.48693395265878,37594.598582111736,0%
2025-03-09 19:23:00-07:00,116.10624667977116,-5.245133309752728,138.3090230831337,42.487178929287495,37594.62708963991,0%
2025-03-09 19:24:00-07:00,116.3567977500512,-5.244354481825571,138.30897424161938,42.487424515326936,37594.65540056358,0%
2025-03-09 19:25:00-07:00,116.60734800090134,-5.243576482562352,138.30892582502463,42.487670706096424,37594.68351434162,0%
2025-03-09 19:26:00-07:00,116.85789743500148,-5.242799326776387,138.30887783418186,42.48791749690006,37594.711430436946,0%
2025-03-09 19:27:00-07:00,117.10844605503556,-5.242023029265182,138.30883026993348,42.48816488303893,37594.73914831562,0%
2025-03-09 19:28:00-07:00,117.35899386372013,-5.241247604809823,138.30878313308952,42.488412859790564,37594.766667448406,0%
