Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-09 19:00:00-07:00,18.220433275903915,10.92853868619083,264.3633184588673,28.899312423354935,253238.1837291726,0%
2025-03-09 19:01:00-07:00,18.2218297972395,10.92957650246554,264.51158605309416,28.69201079485008,253316.40440819736,0%
2025-03-09 19:02:00-07:00,18.22324636852083,10.930611608580513,264.6594495235681,28.484672482520807,253394.64916536747,0%
2025-03-09 19:03:00-07:00,18.22468301756404,10.931644023682535,264.8069150617874,28.277299062219946,253472.9176248583,0%
2025-03-09 19:04:00-07:00,18.226139771734914,10.932673766936063,264.95398879793356,28.069892096010168,253551.20941008106,0%
2025-03-09 19:05:00-07:00,18.227616657973968,10.933700857522684,265.10067680185193,27.86245313244129,253629.52414369115,0%
2025-03-09 19:06:00-07:00,18.22911370276618,10.93472531464077,265.2469850840344,27.654983706799122,253707.86144759555,0%
2025-03-09 19:07:00-07:00,18.23063093217714,10.935747157505014,265.3929195965566,27.447485341394803,253786.22094295855,0%
2025-03-09 19:08:00-07:00,18.232168371816655,10.936766405346047,265.5384862340429,27.239959545791063,253864.60225021423,0%
2025-03-09 19:09:00-07:00,18.2337260468626,10.937783077409975,265.6836908345814,27.03240781707501,253943.0049890689,0%
2025-03-09 19:10:00-07:00,18.235303982056628,10.938797192958017,265.82853918064393,26.824831640102023,254021.42877851304,0%
2025-03-09 19:11:00-07:00,18.236902201701284,10.939808771266142,265.9730369999854,26.617232487745696,254099.87323682735,0%
2025-03-09 19:12:00-07:00,18.23852072965138,10.9408178316245,266.11718996654577,26.40961182112028,254178.33798159126,0%
2025-03-09 19:13:00-07:00,18.240159589339463,10.941824393337129,266.2610037013074,26.20197108984715,254256.82262969002,0%
2025-03-09 19:14:00-07:00,18.24181880374977,10.942828475721518,266.4044837731751,25.99431173226513,254335.32679732298,0%
2025-03-09 19:15:00-07:00,18.243498395430418,10.943830098108258,266.54763569982106,25.786635175670675,254413.85010001328,0%
2025-03-09 19:16:00-07:00,18.24519838649572,10.94482927984049,266.69046494852336,25.578942836545668,254492.39215261265,0%
2025-03-09 19:17:00-07:00,18.246918798619983,10.94582604027361,266.8329769369938,25.371236120780004,254570.95256931093,0%
2025-03-09 19:18:00-07:00,18.248659653034405,10.94682039877481,266.9751770342008,25.163516423881045,254649.53096364497,0%
2025-03-09 19:19:00-07:00,18.25042097054997,10.947812374722796,267.1170705611538,24.95578513121836,254728.12694850436,0%
2025-03-09 19:20:00-07:00,18.25220277152545,10.948801987507169,267.25866279171896,24.74804361820293,254806.7401361409,0%
2025-03-09 19:21:00-07:00,18.25400507588463,10.949789256528131,267.39995895338757,24.540293250515933,254885.370138177,0%
2025-03-09 19:22:00-07:00,18.255827903126693,10.950774201196161,267.54096422804116,24.332535384323307,254964.0165656109,0%
2025-03-09 19:23:00-07:00,18.257671272302414,10.95175684093151,267.681683752722,24.124771366463104,255042.67902882857,0%
2025-03-09 19:24:00-07:00,18.259535202031607,10.952737195163754,267.82212262037416,23.91700253465648,255121.3571376081,0%
