Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-01-01 00:00:00-05:00,260.70477964966767,-0.6339919682275744,90.66101682709143,5.078045862394165,41335.1166909026,0%
2025-01-01 00:01:00-05:00,260.95355128014364,-0.6338524528806925,90.6602810336395,5.079959174108694,41334.907230907746,0%
2025-01-01 00:02:00-05:00,261.2023228726642,-0.6337009803738031,90.65953278120013,5.081872596067478,41334.69775820974,0%
2025-01-01 00:03:00-05:00,261.4510944260339,-0.6335375534546489,90.65877208369838,5.08378612942766,41334.48827268572,0%
2025-01-01 00:04:00-05:00,261.69986593949005,-0.6333621750955444,90.6579989552916,5.085699774908686,41334.27877426089,0%
2025-01-01 00:05:00-05:00,261.94863741183866,-0.6331748484953446,90.65721341037421,5.087613533655047,41334.06926281388,0%
2025-01-01 00:06:00-05:00,262.19740884232135,-0.6329755770773191,90.65641546357239,5.089527406370849,41333.859738271596,0%
2025-01-01 00:07:00-05:00,262.44618022975214,-0.6327643644911938,90.65560512974876,5.09144139418201,41333.65020051479,0%
2025-01-01 00:08:00-05:00,262.69495157337377,-0.6325412146109451,90.65478242399723,5.093355497779009,41333.44064947199,0%
2025-01-01 00:09:00-05:00,262.943722872005,-0.6323061315369263,90.65394736164762,5.09526971827463,41333.2310850255,0%
2025-01-01 00:10:00-05:00,263.19249412490166,-0.6320591195935581,90.65309995826037,5.097184056335277,41333.02150710653,0%
2025-01-01 00:11:00-05:00,263.4412653308855,-0.6318001833314691,90.6522402296313,5.099098513057262,41332.8119155993,0%
2025-01-01 00:12:00-05:00,263.6900364891101,-0.6315293275254759,90.65136819178693,5.101013089198494,41332.60231042507,0%
2025-01-01 00:13:00-05:00,263.9388075987185,-0.6312465571753062,90.65048386098591,5.10292778552561,41332.3926915042,0%
2025-01-01 00:14:00-05:00,264.18757865855315,-0.6309518775064116,90.64958725372095,5.104842603096255,41332.18305872538,0%
2025-01-01 00:15:00-05:00,264.43634966786897,-0.6306452939678311,90.64867838671371,5.106757542550939,41331.973412022766,0%
2025-01-01 00:16:00-05:00,264.68512062552065,-0.6303268122343921,90.6477572769198,5.108672604928209,41331.76375128719,0%
2025-01-01 00:17:00-05:00,264.93389153077266,-0.6299964382042673,90.64682394152321,5.110587790847682,41331.554076455264,0%
2025-01-01 00:18:00-05:00,265.1826623824736,-0.6296541780012999,90.64587839794135,5.112503101340738,41331.34438741864,0%
2025-01-01 00:19:00-05:00,265.4314331799013,-0.6293000379723624,90.6449206638192,5.114418537004086,41331.13468411656,0%
2025-01-01 00:20:00-05:00,265.68020392191244,-0.6289340246898256,90.6439507570346,5.116334098850373,41330.924966442835,0%
2025-01-01 00:21:00-05:00,265.9289746077937,-0.628556144948799,90.64296869569228,5.118249787456648,41330.715234338924,0%
