X,Y,Z
-13036.965881069546,-40321.034752417996,-441.9349567446615
-12861.756248172976,-40377.266267949046,-441.82619828857923
-12686.30412093145,-40432.73651535884,-441.70911067198364
-12510.612807443484,-40487.44444875877,-441.5836961115476
-12334.685620017794,-40541.38903672674,-441.4499569807324
-12158.525875712365,-40594.569262139004,-441.3078958101538
-11982.136895667782,-40646.9841223749,-441.1575152870955
-11805.52200564724,-40698.63262915357,-440.99881825592996
-11628.684535375092,-40749.51380873079,-440.8318077175609
-11451.62781907128,-40799.62670174247,-440.65648682991355
-11274.35519478483,-40848.97036339645,-440.47285890731337
-11096.87000494236,-40897.54386331731,-440.2809274209677
-10919.175595747283,-40945.346285714455,-440.0806959984302
-10741.275317356769,-40992.37672933106,-439.87216842369855
-10563.172524023701,-41038.63430740867,-439.6553486374592
-10384.870573530663,-41084.11814783561,-439.43024073639043
-10206.372827699912,-41128.82739301491,-439.19684897376624
-10027.682651758007,-41172.76120002601,-438.9551777586721
-9848.803414856457,-41215.91874049467,-438.7052316566798
-9669.738489409643,-41258.29920075563,-438.44701538895595
-9490.491251634341,-41299.90178172243,-438.1805338330156
-9311.06508088168,-41340.72569904552,-437.9057920217516
-9131.463360186748,-41380.77018298473,-437.622795144233
-8951.689475579253,-41420.034478566144,-437.33154854472815
-8771.746816646097,-41458.517845456554,-437.03205772349133
-8591.638775927235,-41496.219558096425,-436.7243283358395
-8411.368749081037,-41533.13890566178,-436.40836619241594
-8230.940135044963,-41569.275192033296,-436.08417725945657
-8050.35633544967,-41604.62773591532,-435.7517676577664
-7869.620755147861,-41639.19587073016,-435.41114366369305
-7688.736801552492,-41672.978944747265,-435.0623117078672
-7507.707885180387,-41705.97632097963,-434.70527837625366
-7326.537418976013,-41738.187377309936,-434.34005040884017
-7145.228818857286,-41769.61150639102,-433.9666347007282
-6963.785503040995,-41800.248115765906,-433.58503830073283
-6782.210892589653,-41830.09662777299,-433.19526841255293
-6600.5084107369075,-41859.15647965992,-432.79733239331915
-6418.681483428901,-41887.42712349463,-432.391237754803
-6236.733538736723,-41914.908026260135,-431.97699216206104
-6054.668007003262,-41941.598669829174,-431.5546034338218
-5872.48832102882,-41967.498550938784,-431.1240795428573
-5690.197915448772,-41992.60718128058,-430.6854286145995
-5507.800227304383,-42016.92408741962,-430.238658928421
-5325.298695341642,-42040.44881089108,-429.7837789160163
-5142.696760577898,-42063.180908124625,-429.3207971627502
-4959.997865616277,-42085.11995053275,-428.8497224059285
-4777.205455192685,-42106.265524442824,-428.37056353622637
-4594.322975502176,-42126.61723117782,-427.8833295959545
-4411.35387474348,-42146.17468699351,-427.3880297804342
-4228.301602517865,-42164.937523146036,-426.88467343644754
-4045.1696099967844,-42182.90538587155,-426.37327006266014
-3861.9613500804394,-42200.0779363724,-425.853829310099
-3678.680276809225,-42216.454850874245,-425.3263609804173
-3495.329845891736,-42232.03582057625,-424.79087502750895
-3311.913514047212,-42246.82055171016,-424.24738155553285
-3128.434739541349,-42260.80876549462,-423.695890820501
-2944.896981506948,-42274.00019818987,-423.1364132282809
-2761.303700500077,-42286.39460105546,-422.5689593362578
-2577.658357815957,-42297.99174039936,-421.99353985120683
-2393.9644160375733,-42308.791397541,-421.4101656310646
-2210.2253383591806,-42318.79336885389,-420.81884768276603
-2026.4445891280504,-42327.99746573383,-420.2195971639777
-1842.6256332560151,-42336.40351463177,-419.6124253811442
-1658.77193636578,-42344.01135704401,-418.9973437901002
-1474.8869649745916,-42350.82084950623,-418.374363996487
-1290.9741858741377,-42356.83186361843,-417.743497753885
-1107.0370666913402,-42362.04428602403,-417.1047569655576
-923.0790752054372,-42366.45801843226,-416.4581536821704
-739.103679900144,-42370.07297760258,-415.8037001036906
-555.114349271606,-42372.88909536122,-415.1414085769912
-371.1145523911464,-42374.90631859004,-414.47129159782014
-187.10775822189734,-42376.12460923712,-413.79336180832445
-3.0974361616809714,-42376.54394431076,-413.1076319990698
180.91294454821244,-42376.164315884336,-412.4141151068223
364.9199146745738,-42374.98573109319,-411.71282421513894
548.9200048076071,-42373.008212137895,-411.0037725550118
732.909745986408,-42370.23179627898,-410.286973502565
916.8856691240649,-42366.65653584353,-409.5624405811674
1100.8443057126892,-42362.28249821427,-408.83018745877484
1284.7821872559632,-42357.10976584073,-408.0902279501155
1468.6958459616694,-42351.1384362227,-407.3425760139686
1652.581814179932,-42344.36862192603,-406.58724575534046
1836.4366250960102,-42336.80045056023,-405.8242514227987
2020.2568121703587,-42328.43406479903,-405.05360741059116
2204.038909828698,-42319.269622351974,-404.27532825595324
2387.7794529004636,-42309.30729598995,-403.4894286413073
2571.4749772368477,-42298.54727351529,-402.6959233918042
2755.122019530656,-42286.98975776894,-401.89482747591984
2938.7171171625287,-42274.63496664205,-401.0861560062677
3122.25680879674,-42261.48313303758,-400.2699242369104
3305.7376338394915,-42247.53450490679,-399.44614756579966
3489.1561331052408,-42232.789345201534,-398.6148415317562
3672.5088482857554,-42217.24793191454,-397.77602181692487
3855.792322610237,-42200.91055802647,-396.92970424367735
4039.003100317171,-42183.77753155054,-396.07590477719185
4222.1377273132775,-42165.849175473864,-395.21463952222035
4405.192750639014,-42147.12582780742,-394.3459247257379
4588.164719061666,-42127.60784152892,-393.46977677402236
4771.050182919614,-42107.295584596024,-392.5862121935176
4953.845693945112,-42086.189439967944,-391.6952476515601
5136.547805879276,-42064.28980553628,-390.7968999535337
5319.153073909827,-42041.5970941899,-389.8911860454644
5501.6580553704125,-42018.111733731064,-388.9781230107823
5684.0593091596165,-41993.83416694768,-388.0577280729287
5866.353396455329,-41968.76485152147,-387.13001859205934
6048.536880137147,-41942.90426010471,-386.1950120677712
6230.606325484803,-41916.252880224274,-385.2527261356472
6412.558299613587,-41888.81121436172,-384.3031785700723
6594.3893721694285,-41860.579779851534,-383.34638728075174
6776.096114759909,-41831.55910896702,-382.38237031552393
6957.675101575405,-41801.749748824666,-381.41114585725535
7139.122909209654,-41771.152261410294,-380.4327322246552
7320.436116504359,-41739.767223607014,-379.4471478732091
7501.611305136066,-41707.59522709555,-378.45441139192485
7682.645059085807,-41674.63687844599,-377.45454150628586
7863.533965307398,-41640.89279899912,-376.4475570746063
8044.274613172685,-41606.36362496731,-375.4334770909779
8224.863595160165,-41571.05000730621,-374.4123206815603
8405.297506297882,-41534.952611821165,-373.38410710761
8585.572944845813,-41498.072119033764,-372.34885576173747
8765.686511742917,-41460.40922429237,-371.30658617091126
8945.634811213024,-41421.9646376492,-370.2573179931286
9125.41445059384,-41382.7390838933,-369.2010710182908
9305.022040173077,-41342.73330258834,-368.13786516920453
