X,Y,Z
-1396.1639195003909,5353.520411327846,-3168.151070284931
-1744.2744921350456,5250.981617216898,-3167.228163631941
-2084.910977217394,5125.833725674945,-3166.3244499857956
-2416.606721934937,4978.615576577909,-3165.4438205282986
-2737.9335689479813,4809.961036046688,-3164.5900670555316
-3047.508005498096,4620.596267257985,-3163.7668656512424
-3343.997120295702,4411.336603857741,-3162.977760858425
-3626.124342534915,4183.083039441021,-3162.226150417246
-3892.6749383291613,3936.8183482111144,-3161.5152706350227
-4142.501240898197,3673.6028535237233,-3160.8481824512432
-4374.5275919921105,3394.5698625309756,-3160.227758257655
-4587.754973270155,3100.9207865881817,-3159.65666953015
-4781.265307700326,2793.9199684256632,-3159.1373753256908
-4954.225412453451,2474.889238364807,-3158.672111693862
-5105.890586276303,2145.2022230119514,-3158.262882048558
-5235.607815895249,1806.278430938613,-3157.9114485413543
-5342.818587646703,1459.5771408094893,-3157.619324473632
-5427.061292226958,1106.5911182771977,-3157.387767780183
-5487.973212208879,748.8401886927498,-3157.21777561232
-5525.292083766786,387.8646933089485,-3157.110080043852
-5538.8572258861905,25.21885714818885,-3157.0651449183756
-5528.610232195861,-337.53590290616984,-3157.0831638514983
-5494.59522244373,-698.8377009858254,-3157.164059396571
-5436.958652533876,-1057.1309071308278,-3157.307483377539
-5355.948683942243,-1410.8728452494004,-3157.51281838748
-5251.914115226768,-1758.5404353006322,-3157.779180446365
-5125.302880231144,-2098.6367511076664,-3158.105422806627
-4976.660119450583,-2429.697465557382,-3158.490140890128
-4806.625832860703,-2750.2971554455567,-3158.9316783352942
-4615.932124318447,-3059.055438812639,-3159.4281341283545
-4405.400049397172,-3354.642918351374,-3159.97737078802
-4175.936080230022,-3635.7869052917654,-3160.5770235683244
-3928.5282025806205,-3901.2768991220437,-3161.2245106400346
-3664.241661947812,-4149.969799548732,-3161.917044206777
-3384.2143770176795,-4380.794828258225,-3162.6516425080335
-3089.6520402135725,-4592.758139285551,-3163.425142657301
-2781.8229264362444,-4784.947098142758,-3164.2342142601865
-2462.0524323490304,-4956.53421127986,-3165.0753737537516
-2131.7173697162975,-5106.780688962044,-3165.944999405398
-1792.240037370227,-5235.039626220273,-3166.8393469067096
-1445.0820973237398,-5340.758788182176,-3167.754565495108
-1091.7382814050252,-5423.48298778718,-3168.686714533903
-733.7299555010874,-5482.856045651883,-3169.6317804793616
-372.59856912881673,-5518.622323644367,-3170.5856941617258
-9.89901853090324,-5530.627825566234,-3171.5443483057893
352.80704812285325,-5518.820860202352,-3172.503615215585
713.9579546073433,-5483.252263883852,-3173.4593645470286
1071.9987206328622,-5424.075181605999,-3174.4074810920356
1425.3877570075106,-5341.544407643228,-3175.343882497477
1772.6035031407332,-5236.0152885008,-3176.264536842735
2112.150978312985,-5107.942192925897,-3177.1654800001443
2442.568218500716,-4957.876555566639,-3178.04283270358
2762.432571045592,-4786.464502701099,-3178.892817251696
3070.3668200619627,-4594.4440702605025,-3179.711773773899
3365.0451162125337,-4382.642026122955,-3180.49617598901
3645.1986853165827,-4151.970310362215,-3181.2426463887705
3909.6212912172746,-3903.4221087745727,-3181.947970780809
4157.174429379683,-3638.0675765953447,-3182.609112128453
4386.792228865718,-3357.0492308105518,-3183.2232236277905
4597.486041573209,-3061.5770309087193,-3183.7876609656846
4788.348698984247,-2752.923169248647,-3184.2999937059267
4958.558418091754,-2432.4165934774037,-3184.758015754557
5107.382339689128,-2101.4372845798744,-3185.1597548592317
5234.179683786692,-1761.4103151988675,-3185.50348110176
5338.404508569707,-1413.7997138076034,-3185.7877143472597
5419.608061019196,-1060.1021611518029,-3186.0112306178116
5477.440709073731,-701.8405461050686,-3186.1730673632005
5511.6534470140605,-340.5574086801019,-3186.272527606039
5522.098967588123,22.191701568684458,-3186.3091829434156
5508.732296260883,384.8449231586388,-3186.2828753921412
5471.610984857752,745.8408074672018,-3186.1937180696605
5410.8948637680005,1103.6250417446004,-3186.0420947076723
5326.845353775192,1456.6571414001187,-3185.828658000562
5219.824340477204,1803.4170827516718,-3185.554326795757
5090.2926161431005,2142.4118476756876,-3185.220282138096
4938.807895713826,2472.181851984979,-3184.8279621852294
4766.022415491983,2791.3072298478514,-3184.3790560159664
4572.680124856183,3098.413947199619,-3183.8754963582032
4359.613483094975,3392.179717816114,-3183.3194512677464
4127.7398751490355,3671.3396965827856,-3182.7133147938653
3878.0576616965177,3934.6919254422287,-3182.059696671762
3611.641880586074,4181.102508575191,-3181.361411086309
3329.639618128067,4409.51049452964,-3180.621464555487
3033.26507017075,4618.932444280175,-3179.843042985639
2723.794314229415,4808.466665546734,-3179.029497954298
2402.559815174817,4977.297095143655,-3178.184332279652
2070.9446881403887,5124.696812640939,-3177.311184938778
1730.3767433467654,5250.031170211249,-3176.413815399551
1382.3223384877372,5352.760525184828,-3175.496087433743
1028.280065143461,5432.442563548648,-3174.5619524809595
669.7742964090685,5488.734204384144,-3173.615432635065
308.3486235139807,5521.3930770453335,-3172.6606033263424
-54.440790299778634,5530.2785647154005,-3171.7015757739673
-417.0319100348461,5515.3524098502285,-3170.7424792843267
-777.8635544732405,5476.678878900909,-3169.7874434714213
-1135.3821180378472,5414.4244856065025,-3168.840580475892
-1488.0482600338978,5328.85727404849,-3167.905967259244
-1834.343532473249,5220.345664553377,-3166.9876280494777
-2172.7769179404377,5089.356867413302,-3166.0895170137596
-2501.8912493550147,4936.454871253592,-3165.2155012326702
-2820.269483985156,4762.298014709753,-3164.369344049416
-3126.5408047026067,4567.636151868046,-3163.554688865634
-3419.3865222059444,4353.307423675648,-3162.7750434535965
-3697.5457528025822,4120.234649219777,-3162.0337648523696
-3959.820847299472,3869.421352416028,-3161.334044912918
-4205.082547632747,3601.94744120953,-3160.678896554452
-4432.274849027124,3318.9645578985287,-3160.0711407911485
-4640.41954675759,3021.6911205934307,-3159.513394585144
-4828.620447931402,2711.4070771659576,-3159.008059578063
-4996.067230157579,2389.448394275229,-3158.5573117496465
-5142.038930492026,2057.2013051950994,-3158.1630920479793
-5265.907049632607,1716.0963412152992,-3157.827098031671
-5367.138258001687,1367.602172309664,-3157.550776559983
-5445.29669206276,1013.2192835954407,-3157.3353175623806
-5500.045830985543,654.4735148065317,-3157.1816489143275
-5531.149945578106,292.9094906013822,-3157.090432441397
-5538.475113248467,-69.91603001205569,-3157.0620610689225
-5521.989794624924,-432.44085649536476,-3157.0966571294252
-5481.764969352739,-793.1040929866401,-3157.1940718351534
-5417.973830482504,-1150.3528589312957,-3157.3538859179803
-5330.891038765736,-1502.6489752038513,-3157.5754114339056
-5220.891540068963,-1848.475586928884,-3157.857694724425
-5088.448950997247,-2186.3436944898945,-3158.199520521986
-4934.1335196794225,-2514.79856460122,-3158.5994171818616
-4758.60967049275,-2832.4259938457585,-3159.0556630179476
-4562.6331433020905,-3137.8583977015714,-3159.566293715166
-4347.0477395266635,-3429.7806988496027,-3160.1291107865895
-4112.781689048611,-3706.9359894016525,-3160.7416910388624
-3860.8436536029217,-3968.1309426748635,-3161.4013970051765
-3592.3183838592163,-4212.240951207764,-3162.1053883008644
-3308.362048891836,-4438.21496889858,-3162.8506338527454
-3010.197258150496,-4645.0800364146,-3163.6339249495486
-2699.1077973621195,-4831.945470390477,-3164.4518890572267
-2376.4331010321607,-4998.006698375928,-3165.3010043396966
-2043.5624853415477,-5142.548723023214,-3166.177614822458
-1701.9291662735375,-5264.949200596914,-3167.0779461338234
-1353.0040887227315,-5364.681120552833,-3167.998121755977
-998.2895931593916,-5441.315074647289,-3168.934179715892
-639.3129471142366,-5494.521105808093,-3169.8820896442367
-277.6197693392196,-5524.070128805595,-3170.837770128825
85.23262504894878,-5529.834916607974,-3171.7971062878996
447.6819297804919,-5511.790648172867,-3172.755967487552
808.1675741392947,-5470.015015317554,-3173.710225127057
1165.1374421930761,-5404.687888207173,-3174.6557704154584
1517.0545556229504,-5316.090540901242,-3175.588532062944
1862.4036913748548,-5204.604440293126,-3176.5044938107794
2199.6979056409223,-5070.70960365693,-3177.399711724355
2527.484936082204,-4914.982531873,-3178.2703311748833
2844.3534547243034,-4738.093727231892,-3179.1126034365907
3148.939144606791,-4540.804806502758,-3179.9229018279993
3439.930574019086,-4323.965221697851,-3180.6977373277496
3716.074843033989,-4088.508602650505,-3181.4337735977465
3976.182978023698,-3835.448737156083,-3182.1278413489417
4219.13505093475,-3565.875205981585,-3182.776951987886
4443.88500127713,-3280.9486915405446,-3183.378310485301
4649.465140068782,-2981.895980429469,-3183.9293274112533
4834.990316340531,-2670.004681345996,-3184.4276300851147
4999.661728264525,-2346.617681128221,-3184.871072792292
5142.7703624943415,-2013.1273627893918,-3185.2577460237353
5263.700046911291,-1670.969610437216,-3185.5859846984404
5361.930103629262,-1321.61762689828,-3185.854375333539
5437.037590839069,-966.5755906574619,-3186.0617621310917
5488.699123836652,-607.3721794315306,-3186.207251955401
5516.692267396486,-245.5539882555077,-3186.2902181793643
5520.89649349401,117.32112957399104,-3186.3103033833513
5501.293700254159,479.6907700313532,-3186.267420894945
5457.968289891217,839.9947054862449,-3186.1617551629347
5391.106805304501,1196.681602459201,-3185.993760963933
5300.997126894795,1548.2157010802664,-3185.7641614450454
5188.027233059179,1893.0834274955673,-3185.4739450110014
5052.683529701951,2229.79991074726,-3185.124361069152
4895.548755952983,2556.915376071566,-3184.7169146506635
4717.2994751124315,2873.0213870832854,-3184.2533599310327
4518.703161622012,3176.756909976327,-3183.7356926778616
4300.614896609476,3466.814173622022,-3183.166141658367
4063.973686228956,3741.9443003428028,-3182.5471590436423
3809.798418653887,4000.9626831093087,-3181.881409850977
3539.1834771262816,4242.754086014486,-3181.171760469692
3253.2940279535314,4466.277446060452,-3180.421266319882
2953.3610037399,4670.570355584819,-3179.633158697229
2640.6758034520885,4854.753206027362,-3178.8108308604787
2316.584732140788,5018.032975193789,-3177.9578234215332
1982.4832042556366,5159.706641712133,-3177.0778091010275
1639.809735515224,5279.1642119784665,-3176.174576915044
1290.0397491974174,5375.891346560798,-3175.252015861035
934.6792235215016,5449.471574751273,-3174.3140981732236
575.2582074702193,5499.588087733002,-3173.3648622195324
213.32423297412936,5526.025102639692,-3172.40839511374
-149.56434818099672,5528.668791635833,-3171.448815117679
-511.84507403107204,5507.507772016544,-3170.4902539092645
-871.9580998095463,5462.6331552172305,-3169.5368387927165
-1228.3529140519183,5394.23815452208,-3168.592674927551
-1579.4950145184496,5302.6172531598395,-3167.6618276528648
-1923.8725151821466,5188.164936370081,-3166.7483049830294
-2260.0026558448244,5051.373992897276,-3165.8560403501447
-2586.4381863444246,4892.83339322789,-3164.9888756675773
-2901.7735978720284,4713.225753704137,-3164.1505447874933
-3204.6511745643647,4513.32439743463,-3163.3446574236364
-3493.7668393195404,4293.990024654886,-3162.5746836085273
-3767.8757686627737,4056.1670068756675,-3161.843938752081
-4025.7977524897774,3800.8793207731774,-3161.155569365919
-4266.422275607797,3529.226139330412,-3160.5125395148516
-4488.713299197841,3242.3770992102436,-3159.917618053906
-4691.713721608358,2941.567264739644,-3159.373366705818
-4874.549499276282,2628.091810185511,-3158.88212903034
-5036.433410030006,2303.300443221234,-3158.4460203328545
-5176.668442573031,1968.5915935912801,-3158.0669185557654
-5294.650797552744,1625.40639199797,-3157.7464561918673
-5389.872487293733,1275.2224651338954,-3157.4860132545246
-5461.923523002315,919.5475735751079,-3157.286711334936
-5510.493680024033,559.9131199315082,-3157.1494087720635
-5535.373833554991,197.8675551997412,-3157.0746969560378
-5536.456859054374,-165.0302882828863,-3157.062897780954
-5513.738093482765,-527.2179085877835,-3157.1140622580315
-5467.315355379344,-887.1358617401843,-3157.227970295109
-5397.3885236919405,-1243.234476100769,-3157.4041316434314
-5304.25867717343,-1593.9805246690498,-3157.641788007653
-5188.326798049426,-1937.8638265843983,-3157.939916309982
-5050.092045539589,-2273.4037493969354,-3158.297233094401
-4890.149606665059,-2599.155584116134,-3158.712200052025
-4709.188133596901,-2913.716765584543,-3159.183030643787
-4507.986778577939,-3215.7329113977585,-3159.707697791961
-4287.4118391860975,-3503.903653365886,-3160.2839426073842
-4048.413028381646,-3776.988236411703,-3160.9092841148304
-3792.0193854003014,-4033.8108607954873,-3161.581029934649
-3519.334845095695,-4273.265744668264,-3162.296287874679
-3231.533484811515,-4494.321885152223,-3163.05197838253
-2929.854469243265,-4696.027497453697,-3163.8448478046334
-2615.5967150623846,-4877.514112889566,-3164.6714823949537
-2290.1132982666977,-5038.000318188764,-3165.528323013052
-1954.8056283443348,-5176.795119963717,-3166.4116804482373
-1611.1174143295773,-5293.300919868974,-3167.317751303788
-1260.5284487344823,-5387.016087635037,-3168.2426343729007
-904.5482361170116,-5457.537120900289,-3169.182347435815
-544.709493721244,-5504.560382540578,-3170.132844405809
-182.56155217268798,-5527.883408016675,-3171.0900327502586
180.33631535880411,-5527.405777110695,-3172.049791111717
542.4216068030297,-5503.129546297789,-3173.007987053174
902.1353187378024,-5455.159239891745,-3173.960494851078
1257.9286588716607,-5383.701400002569,-3174.903213259489
1608.269714563001,-5289.063697243586,-3175.8320831689375
1951.650048660053,-5171.653606017421,-3176.7431050838677
2286.5911942660737,-5031.976650083888,-3177.632356343488
2611.6510204614,-4870.634225964973,-3178.4960080118394
2925.429941580021,-4688.321013556206,-3179.3303413643716
3226.5769432977277,-4485.821985096963,-3180.131763900031
3513.795399594709,-4264.009025373527,-3180.896824809921
3785.848655539192,-4023.8371777112866,-3181.622229835942
4041.5653518602726,-3766.340531915993,-3182.3048554553975
4279.84446838054,-3492.627771871837,-3182.9417623305253
4499.660064596386,-3203.877401964102,-3183.5302079650346
4700.065696992108,-2901.332672882335,-3184.067658513124
4880.19849407101,-2586.296228648772,-3184.5517996901713
5039.282871555667,-2260.1244979229255,-3184.9805467380897
5176.6338717632,-1924.2218537280398,-3185.352053402437
5291.660112775525,-1580.034566748875,-3185.6647198826495
5383.866334708295,-1229.0445782320578,-3185.9171997211183
5452.855532113755,-872.7631193042625,-3186.1084056014965
5498.330663337428,-512.7242041773634,-3186.2375140312324
5520.095929467839,-150.4780252593899,-3186.3039688881668
5518.057617373168,212.41572139177842,-3186.3074838159378
5492.224503194821,574.3945515351758,-3186.2480434578556
5442.707814560742,933.8999202158134,-3186.125903523946
5369.720751680745,1289.3839322766707,-3185.9415896908536
5273.577569386831,1639.3160070114593,-3185.6958953393664
5154.692224069391,1982.1894682730288,-3185.389878139259
5013.576591336749,2316.528031653778,-3185.0248554961872
4850.838262070572,2640.892160813178,-3184.602398880228
4667.177926367961,2953.885265580138,-3184.124327060471
4463.386356632456,3254.1597151468736,-3183.592698274792
4240.341002805371,3540.42264046053,-3183.009801368529
3999.002214395156,3811.441500832851,-3182.378145940201
3740.4091055734343,4066.0493907970094,-3181.7004515366857
3465.6750811387924,4303.150064365259,-3180.9796359444103
3175.983042614297,4521.7226550520245,-3180.218802626929
2872.580295116808,4720.82607134243,-3179.4212273629914
2556.7731769300813,4899.603048678558,-3178.5903441426344
2229.9214349015115,5057.283840519457,-3177.729730382014
1893.4323698839946,5193.189532580073,-3176.843091520639
1548.7547774245602,5306.734965982322,-3175.9342450673294
1197.3727097969986,5397.431256728559,-3175.007104163571
840.7990862277061,5464.887900653342,-3174.0656607350675
480.5691788347803,5508.81445478737,-3173.113968304
118.23400232159835,5529.021787896098,-3172.1561245360217
-244.6463641099041,5525.422894807736,-3171.196253597126
-606.5094938744083,5498.033271024909,-3170.2384883963387
-965.7973402265011,5446.9708460068005,-3169.2869527907237
-1320.9629446241393,5372.455475409252,-3168.345743829295
-1670.4770973524692,5274.807994468687,-3167.4189141122843
-2012.8349217259765,5154.448836606188,-3166.5104543417538
-2346.562353523501,5011.896223198767,-3165.624276138641
-2670.222487754632,4847.763932312919,-3164.764195200261
-2982.4217654341514,4662.758656006269,-3163.93391487075
-3281.8159737230844,4457.676957577264,-3163.1370101952284
-3567.1160336054627,4233.401841862105,-3162.3769125263125
-3837.093550177932,3990.898953347901,-3161.6568947492733
-4090.5861016579893,3731.212418469246,-3160.980057189453
-4326.502244334711,3455.4603499928285,-3160.3493142626203
-4543.826211917309,3164.8300328417877,-3159.7673819257507
-4741.622289041728,2860.572812094575,-3159.2367659822667
-4919.038840111268,2543.9987051608423,-3158.7597512920815
-5075.311976118851,2216.4707613395444,-3158.3383919329344
-5209.768843666951,1879.3991930392601,-3157.974502355355
-5321.830522021322,1534.2353039338004,-3157.6696495693586
-5411.01451572674,1182.4652401925011,-3157.425146396517
-5476.936832051138,825.6035916929958,-3157.2420458164606
-5519.313634314169,465.18687076604397,-3157.1211364321575
-5537.962463981522,102.76689654931243,-3157.0629390734957
-5532.803026262796,-260.0958865623962,-3157.067704553803
-5503.8575358307535,-621.8391276059913,-3157.135412588962
-5451.250621173312,-980.9052959459002,-3157.2657718837845
-5375.20878798994,-1335.7483874174509,-3157.45822138527
-5276.059443943307,-1684.8405808394461,-3157.711932697355
-5154.229488964508,-2026.6788162398352,-3158.025813646778
-5010.243477182678,-2359.7912664662977,-3158.3985129846806
-4844.721358390966,-2682.7436743236613,-3158.8284262037373
-4658.375808776487,-2994.1455279445872,-3159.3137024457433
-4452.009162403161,-3292.6560478138213,-3159.85225246994
-4226.509956663111,-3576.989959660195,-3160.441757647768
-3982.8491065675903,-3845.9230283660795,-3161.079679945318
-3722.0757243519242,-4098.297329063584,-3161.763272850505
-3445.3126023914124,-4333.02623272507,-3162.4895931979336
-3153.7513788794236,-4549.09908477928,-3163.255513840506
-2848.6474070799172,-4745.585556611158,-3164.0577371132676
-2531.314350248209,-4921.63965120713,-3164.892809031472
-2203.1185254894103,-5076.503345701156,-3165.7571341617777
-1865.4730209100514,-5209.509855136468,-3166.6469911025115
-1519.8316113914777,-5320.086503391195,-3167.5585485063802
-1167.6824991800706,-5407.757188907107,-3168.487881576619
-810.541906247874,-5472.144434603916,-3169.430988965565
-449.94754600891395,-5512.971013154146,-3170.3838100028984
-87.45200250345448,-5530.061140619757,-3171.3422421793557
275.38395444730634,-5523.341233311941,-3172.3021588106676
636.9980893286721,-5492.840224614815,-3173.259426805634
995.8334273344481,-5438.689440409052,-3174.209924461854
1350.3449581134525,-5361.122033632144,-3175.1495592124843
1699.0062880064497,-5260.471980409092,-3176.07428524761
2040.3162121227742,-5137.172642076819,-3176.980120934362
2372.80517796617,-4991.754899292678,-3177.863165960765
2695.0416127753306,-4824.844866261883,-3178.7196181295035
3005.6380873398084,-4637.161194924387,-3179.5457897293136
3303.2572897485306,-4429.511980709807,-3180.3381234134768
3586.6177833537613,-4202.791283181333,-3181.0932075170676
3854.4995241555725,-3957.9752765513526,-3181.8077907470124
4105.74911385409,-3696.1180466411192,-3182.4787961816633
4339.284765948958,-3418.34705238347,-3183.1033345196674
4554.100963506562,-3125.858271407276,-3183.6787165210344
4749.272788538238,-2819.9110506069064,-3184.2024645868537
