X,Y,Z
-18784.851000974257,33355.558486025446,17713.04997573962
-21063.161048737074,31811.155656446343,17989.032141591986
-23250.890987513612,30129.951858234966,18187.648107484507
-25338.632496143702,28319.176712600532,18308.043493933426
-27317.407290282,26386.617171909576,18349.700384302458
-29178.705754678096,24340.584017045276,18312.439554882487
-30914.523557823093,22189.87609975182,18196.421246806993
-32517.396091538005,19943.742483726786,18002.144476489135
-33980.4305870326,17611.84264760527,17730.444887530237
-35297.33576893182,15204.20492151968,17382.491153380313
-36462.44891981125,12731.183335852445,16959.779946207567
-37470.760238301766,10203.413068667025,16464.129493717453
-38317.93438615621,7631.7646831783095,15897.671751616004
-39000.32913117487,5027.297353066761,15262.843225553077
-39515.011005931075,2401.2112766202426,14562.374482005838
-39859.76791468184,-235.20051462315638,13799.278393459133
-40033.11863436425,-2870.6007456118678,12976.837168437396
-40034.31916871695,-5493.6566758768495,12098.588222488981
-39863.36592834622,-8093.08885631829,11168.30895090812
-39520.99572316401,-10657.719653897064,10190.000469076194
-39008.68256742586,-13176.521335710107,9167.870390391145
-38328.63131143523,-15638.663504557771,8106.314716311273
-37483.768127566604,-18033.559682187333,7009.898916454392
-36477.72789206666,-20350.912838907327,5883.338280630913
-35314.838517264114,-22580.75967394965,4731.47762736896
-34000.10230230359,-24713.51345539701,3559.270456735615
-32539.174383029942,-26740.005235721885,2371.757637154314
-30938.33837466667,-28651.52326506924,1174.0457184140607
-29204.479312441563,-30439.850433302876,-28.7150358565005
-27345.054008093008,-32097.299579015937,-1231.3528009994272
-25368.058948031146,-33616.74651624244,-2428.6964355852997
-23281.99587643914,-34991.66063283862,-3615.5977183011705
-21095.83520783975,-36216.132933711946,-4786.953484632838
-18818.97742918894,-37284.9014066678,-5937.7275666464475
-16461.212657959943,-38193.373602804815,-7062.9724416906465
-14032.678530305899,-38937.64633531981,-8157.850497166179
-11543.816601404253,-39514.52241261563,-9217.654819777123
-9005.327445293779,-39921.52433488685,-10237.829420278982
-6428.1246481162625,-40156.90489606856,-11213.988806738269
-3823.28789214909,-40219.65464669292,-12141.93682265382
-1202.0153328891017,-40109.50618647654,-13017.684669046152
1424.424526702693,-39826.935269215945,-13837.468033618778
4044.7412577037453,-39373.158716189515,-14597.763253556617
6647.67101520125,-38750.12914790013,-15295.302443108769
9222.024928265922,-37960.526557686004,-15927.087521205725
11756.737163111235,-37007.74676403782,-16490.403079447264
14240.91245308693,-35895.88679199052,-16982.828035462597
16663.87289262237,-34629.727246721784,-17402.246022149346
19015.203794403893,-33214.71175564362,-17746.854468444217
21284.798414237703,-31656.923567260987,-18015.172333104107
23462.90135185117,-29963.0594076656,-18206.04645852167
25540.150442655617,-28140.400706560213,-18318.65651764649
27507.616960955125,-26196.78231649172,-18352.518532935872
29356.843963234653,-24140.558858910965,-18307.48695242995
31079.882607184387,-21980.568841484044,-18183.7552741115
32669.326291596048,-19726.096699723734,-17981.855215906206
34118.34247070383,-17386.832925670424,-17702.65443485976
35420.70200715343,-14972.832453611996,-17347.352805152408
36570.805937528225,-12494.471481184108,-16917.477270802392
37563.70953593779,-9962.40290998253,-16414.875294892965
38395.14357219991,-7387.510596374123,-15841.706933172629
39061.53267317619,-4780.862608226714,-15200.435565784259
39560.01070825717,-2153.663687113291,-14493.817326460003
39888.43313234576,482.79288012097743,-13724.889274306826
40045.38623291545,3117.173774946629,-12896.956358426376
40030.193240655004,5738.154337515819,-12013.577231090185
39842.917276760105,8334.467225748911,-11078.548969817442
39484.36112333317,10894.950833850105,-10095.8907737601
38956.06381696238,13408.597263091851,-9069.826703853527
