X,Y,Z
5638.187805040824,2085.4930101506343,2136.6359313956627
5489.295667028803,2450.4252057283165,2136.985099316182
5316.791178507895,2804.8071088401325,2137.3920019429556
5121.4170791112465,3147.1128840470574,2137.854887610913
4904.014576433295,3475.8686911831674,2138.3717636116507
4665.519724104188,3789.659031160657,2138.9404047720614
4406.959391495527,4087.1328405754666,2139.558363033854
4129.446842405353,4367.009308880548,2140.2229779927807
3834.1769417623823,4628.083393074868,2140.9313883521527
3522.42101098651,4869.2310061659655,2141.680544241349
3195.5213541548965,5089.413857067519,2142.4672203462897
2854.8854785454027,5287.68392109019,2143.2880297953443
2501.980034438371,5463.187521780382,2144.139438740871
2138.3245002703943,5615.169006530915,2145.0177815736433
1765.4846403313288,5742.974000137101,2145.9192767046275
1385.065763170321,5846.0522222910995,2146.8400428461823
998.7058097394537,5923.959856882332,2147.7761157225823
608.0683010360294,5976.361462902819,2148.7234651379135
214.83517560406062,6003.031418730568,2149.6780123278663
-179.30045226060204,6003.854893571413,2150.6356475206944
-572.6415824258071,5978.828341877424,2151.5922476317705
-963.4946355687821,5928.059518612576,2152.5436940155173
-1350.1767450919529,5851.767015300478,2153.485890198307
-1731.0230029160737,5750.27931885118,2154.414779515962
-2104.3936279491163,5624.0333972198305,2155.3263625799395
-2468.6810263677307,5473.5728179868765,2156.216714496975
-2822.3167133137927,5299.545407959709,2157.0820017680594
-3163.7780662003543,5102.700463874123,2157.9184987939884
-3491.594880554381,4883.885526203059,2158.722603916404
-3804.355700164278,4644.042729966054,2159.4908549252823
-4100.713894280761,4384.2047482494245,2160.219943966083
-4379.393455703829,4105.490345903277,2160.9067317823774
-4639.194494791,3809.0995625596315,2161.5482612326364
-4878.9984057304655,3496.3085457136767,2162.1417700229645
-5097.772682839762,3168.464056109419,2162.6847026009805
-5294.5753661460485,2826.9776690954673,2163.1747211596075
-5468.559097113217,2473.3196969100227,2163.6097157034037
-5618.974767049315,2109.012858068733,2163.9878131340847
