X,Y,Z
29753.50175770304,26163.98968535268,14475.291113197229
27905.873092470123,28215.266964242357,14301.144154608657
25938.249035986977,30145.218613709334,14065.498937375525
23859.090524680094,31945.54609456199,13769.369173369492
21677.3381207069,33608.508373015095,13414.028703475056
19402.373546693256,35126.9552166086,13001.006013971899
17043.97932234163,36494.35794674382,12532.07765695214
14612.296676799951,37704.837515429615,12009.260603144292
12117.781918128965,38753.189785354596,11434.80356011844
9571.161447906856,39634.90790444933,10811.177293311574
6983.385614805404,40346.20167866824,10141.063991614434
4365.581605972652,40884.01385966715,9427.345723381819
1729.0055793011113,41246.03327735228,8673.092032670116
-915.0057572923586,41430.70476094598,7881.546729163117
-3555.0839107329343,41437.23580601688,7056.113928812369
-6179.877501842066,41265.59995904581,6200.343405362341
-8778.101087835663,40916.536905232366,5317.91531595255
-11338.583697958638,40391.54925950593,4412.624366665972
-13850.316873221105,39692.8960749394,3488.3634863045586
-16302.502003369904,38823.58309693921,2549.107078782988
-18684.596757302468,37787.34980563802,1598.8939263373932
-20986.36040713446,36588.65330275867,641.8098172345661
-23197.89785088951,35232.64911285788,-318.0300271633632
-25309.702144544146,33725.16898211902,-1276.4986502813624
-27312.695360586495,32072.69577082549,-2229.47510695017
-29198.267597595317,30282.335548110088,-3172.86218236883
-30958.31397331264,28361.787009653246,-4102.604007168003
-32585.269442536322,26319.308350423336,-5014.703492812437
-34072.141290527885,24163.681735509446,-5905.2395123880715
-35412.539159295775,21904.17552861898,-6770.383750635231
-36600.702496443584,19550.50441000811,-7606.417162703551
-37631.52527087607,17112.78761738622,-8409.745946810874
-38500.57789010446,14601.505428628836,-9176.916986952272
-39204.12620453519,12027.45410374328,-9904.632686884932
-39739.147522223306,9401.699473989067,-10589.765134391488
-40103.34356603462,6735.529377637838,-11229.369535170214
-40295.15031826827,4040.4051467819286,-11820.696858861695
-40313.74471117273,1327.9123534850307,-12361.205643126737
-40159.04813529589,-1390.288973276843,-12848.572905307863
-39831.72675122945,-4102.514446449647,-13280.704115085146
-39333.188603979346,-6797.105520513238,-13655.742185505875
-38665.57755284821,-9462.479576865913,-13972.075444043301
-37831.764043308634,-12087.179680296475,-14228.344549669808
-36835.3327608004,-14659.923793482281,-14423.44832645024
-35680.56721968898,-17169.6532387164,-14556.548488788998
-34372.43135364554,-19605.580199433774,-14627.07323819672
-32916.548186516346,-21957.2340581199,-14634.719716255277
-31319.175675138817,-24214.506372280008,-14579.455303334253
-29587.179827607033,-26367.694295920537,-14461.517757533826
-27728.00521213318,-28407.542260580605,-14281.41419326618
-25749.64298269945,-30325.281737457313,-14039.918903833355
-23660.596558351022,-32112.668910239878,-13738.070037283644
-21469.84510292869,-33762.02009722138,-13377.165139716613
-19186.804961527116,-35266.24477074496,-12958.75558503686
-16821.289218610476,-36618.87603233657,-12484.6399149076
-14383.4655508458,-37814.098412624684,-11956.8561173124
-11883.812555026003,-38846.7728765462,-11377.6728766696
-9333.074738025916,-39712.458926229,-10749.579832847407
-6742.216361510237,-40407.43370629852,-10075.276890677778
-4122.374339118301,-40928.70802912046,-9357.662625642319
-1484.8103879690125,-41274.0392506369,-8599.821835290599
1159.1373603571858,-41441.9409408981,-7805.012289632654
3798.10308183905,-41431.68930709825,-6976.650737200866
6420.7421058739055,-41243.326340818116,-6118.298226716789
9015.779675385005,-40877.65967521756,-5233.644807204672
11572.05941153392,-40336.259152036924,-4326.493672194153
14078.591274856853,-39621.450112402585,-3400.744815977083
16524.598816531117,-38736.30343951639,-2460.3782720757868
18899.56551646451,-37684.62239530359,-1509.4370058914521
21193.280008746002,-36470.92630690834,-552.009535027935
23395.879999696037,-35100.431172512406,407.7876480049344
25497.89468924885,-33579.02726929085,1365.8277751217934
27490.28551288403,-31913.25385920855,2317.991547879474
29364.485028327766,-30110.27110102276,3260.1848522073533
31112.43377936502,-28177.829288828932,4188.356366379017
32726.614977616926,-26124.235549183355,5098.514986389538
34200.0868526341,-23958.318139744053,5986.746993664355
35526.51252719029,-21689.388509116103,6849.232888828935
36700.18730666679,-19327.20124994243,7682.263830694779
37716.06322691973,-16881.91217899844,8482.257585667623
38569.77079422386,-14364.034663737275,9245.773943224705
39257.63780249522,-11784.39441338672,9969.52951854419
39776.70515083723,-9154.082923195536,10650.411880986852
40124.7395929627,-6484.409772382666,11285.492947500325
40300.24336336033,-3786.8539811077135,11872.041583183027
40302.46063848757,-1073.0146360892068,12407.535354666315
40131.38080498962,1645.4390025705723,12889.671385626814
39787.73852068247,4356.817698352569,13316.376267613787
39273.01056789764,7049.462522893612,13685.814983455015
38589.4095126303,9711.795011467284,13996.398804754763
37739.87419667907,12332.366973441818,14246.792129449434
