X,Y,Z
2811.119954134007,4557.651608869766,3456.7431184281354
2506.194974706787,4731.598716580703,3457.544924533896
2190.5186945817545,4885.173709198795,3458.375666523887
1865.4502973745405,5017.715350418164,3459.231767512396
1532.3894056312852,5128.652965649495,3460.1095414173506
1192.770054580265,5217.508899130213,3461.005208831298
848.0545177134795,5283.900570531237,3461.9149132942484
499.72701078680365,5327.542122204048,3462.834737898328
149.28730134298897,5348.24564997658,3463.760722152729
-201.7557487229557,5345.922012197962,3464.6888790363582
-551.890679758947,5320.581213549047,3465.6152121647633
-899.6099421311511,5272.332361966062,3466.5357329973945
-1243.4163871691862,5201.383198862664,3467.446478011154
-1581.82971332477,5108.039204673537,3468.3435257662463
-1913.3928397955717,4992.702283570129,3469.2230137908814
-2236.678180167389,4855.869033012372,3470.081155212108
-2550.2937890663047,4698.1286055861065,3470.914255061192
-2852.889355352103,4520.160172333556,3471.718726183294
-3143.1620160520474,4322.729998497328,3472.4911046829943
-3419.861965999057,4106.688144270343,3473.2280648391156
-3681.7978390243757,3872.964804755208,3473.926433424648
-3927.841837532406,3622.5663048938045,3474.5832033701117
-4156.93458837455,3356.570766609185,3475.195546711517
-4368.089704111673,3076.1234668179222,3475.7608267671862
-4560.3980300288695,2782.4319062967616,3476.2766094909975
-4733.031558613562,2476.760610638732,3476.740673953146
-4885.246994646218,2160.425685678708,3477.1510219033435
-5016.38895554929,1834.7891508379248,3477.505886375211
-5125.892793219657,1501.2530747775577,3477.8037392948786
-5213.28702519075,1161.2535386187617,3478.0432980609803
-5278.195364659476,816.2544527153495,3478.2235310677415
-5320.338340635678,467.7412536062139,3478.3436621473547
-5339.53450123952,117.21450828220415,3478.403173912532
-5335.701194965052,-233.81654669115687,3478.4018099848304
-5308.854926546621,-583.840503380834,3478.3395760991375
-5259.1112858956885,-931.3502900405058,3478.2167400795965
-5186.68445041398,-1274.8496599968844,3478.033830687036
-5091.886262826132,-1612.8596339252636,3477.791635342882
-4975.124888501699,-1943.9248677804524,3477.4911967393446
-4836.903058048772,-2266.6199189604995,3477.1338083504784
-4677.815902743854,-2579.5553837295943,3476.72100886343
-4498.548392121005,-2881.383879466668,3476.2545755538604
-4299.872384749132,-3170.8058459912745,3475.7365166340496
-4082.643304899446,-3446.5751409805875,3475.1690626066543
-3847.7964594090636,-3707.5044053913653,3474.554656661303
-3596.343010601382,-3952.4701757816274,3473.895944155411
