X,Y,Z
-15053.345450621666,-33116.94502275229,52.84537103875636
-17711.798899743266,-31774.68658728239,12.067240176889433
-20251.525448059492,-30219.434117987,-28.79232767659718
-22655.500749888764,-28461.61303899431,-69.45927600386851
-24907.610462348708,-26513.00662867494,-109.66083854524084
-26992.75826127971,-24386.67702903413,-149.12736886045695
-28896.96703250368,-22096.87768298279,-187.594148958851
-30607.47256026741,-19658.957786369094,-224.80316486870078
-32112.80908441857,-17089.259396049194,-260.50483722657987
-33402.886153675616,-14405.007882931037,-294.4596952934599
-34469.05625958232,-11624.196464586548,-326.4399831650141
-35304.17279772585,-8765.465591946793,-356.2311873975519
-35902.637968109506,-5847.977998194327,-383.63347581172195
-36260.440293698986,-2891.290247161059,-408.4630378255139
-36375.18150559387,84.77835694728115,-430.5533173210453
-36246.09261492749,3060.278620874092,-449.75612978697905
-35874.03906375803,6015.265182964711,-465.942656235651
-35261.51492053783,8929.930208420143,-479.0043072408137
-34412.62615921903,11784.736161383284,-488.8534512923162
-33333.06313407987,14560.546765284598,-495.4240025916731
-32030.0624347404,17238.755273303213,-498.6718643446115
-30512.358377423767,19801.409188613085,-498.57522457763037
-28790.124457170154,22231.330599671004,-495.1347024990167
-26874.90515381047,24512.231323106367,-488.373344420238
-24779.538548498207,26628.82208304605,-478.3364692671154
-22518.07026986097,28566.9149946377,-465.09136471769943
-20105.659345939766,30313.518665563282,-448.7268360029843
-17558.476593620853,31856.925277438542,-429.35261039926706
-14893.596225824649,33186.789064089586,-407.0986014015629
-12128.881403686468,34294.19566013766,-382.1140375179271
-9282.864500097434,35171.72185551745,-354.5664615213011
-6374.6228775536665,35813.485355115736,-324.64060687406703
-3423.65101256434,36215.18421010589,-292.5371588563589
-449.72982398308926,36374.125656539065,-258.47140870933094
2527.2059190944224,36289.244167913996,-222.67180981707264
5487.201221265263,35961.10860063069,-185.3784456080803
8410.414621125368,35391.918384259894,-146.84141944828784
11277.251190349565,34585.48878225884,-107.31917733656918
14068.493881859082,33547.22532158079,-67.07677462845616
16765.43234515992,32284.08756262724,-26.384098430493488
19349.988345979284,30804.542452257992,14.485942421061296
21804.836949453413,29118.50757241519,55.259247657330235
24113.522654586886,27237.28466460021,95.66236387737126
26260.569701443754,25173.48387564568,135.42431852187087
28231.58581129689,22940.939232763707,174.27843721590017
30013.358664775948,20554.61591395152,211.964132300143
31593.944470907943,18030.509935425842,248.2286505506562
32962.74803312322,15385.54092871909,282.82876836126064
34110.59377584043,12637.438725484824,315.53242302843506
35029.7872549559,9804.624510878193,346.12026918714764
35714.166740048124,6906.087341827428,374.38714996295283
36159.144522355375,3961.256858040044,400.14347297147657
36361.73767155771,989.8730384450421,423.21648194000505
36320.58803486484,-1988.1461223835581,443.4514154087731
36035.97134454424,-4952.838132509346,460.71254475544345
35509.79537254618,-7884.329819313092,474.8840845690827
34745.587144516045,-10762.970548254527,485.87096927238963
33748.469298999305,-13569.4639496387,493.5994907777789
32525.12575011096,-16284.99727135404,498.01779290566043
31083.756883746402,-18891.36748998889,499.09621924508366
29434.024587906242,-21371.10333439316,496.827512123063
27586.987485497564,-23707.582404096967,491.2268613496233
25555.02680357188,-25885.142597542876,482.3318024103973
23351.76337648357,-27889.18710240999,470.2019647909064
20991.966338734175,-29706.282244969345,454.91867211880503
18491.454120321396,-31324.247541723922,436.58439680949766
15866.988407758674,-32732.237350204745,415.322072870338
13136.161782064886,-33920.81357118322,391.27427147546746
10317.279786771305,-34882.00891510012,364.6022448398593
7429.238216855389,-35609.380308463806,335.48484480836754
4491.396451140498,-36098.05208232451,304.11732341297954
1523.4476774590248,-36344.74865332438,270.710023444948
-1454.7131200008798,-36347.81647831189,235.48696781815
-4423.1225245948835,-36107.235135293166,198.68435720317012
-7361.882510313891,-35624.617456684944,160.54898598704693
-10251.293825172386,-34903.19871399155,121.33658720315837
-13071.98804203264,-33947.81492645524,81.31011751678288
-15805.057390588303,-32764.870439352515,40.73799378243709
-18432.181501029983,-31362.294989217728,-0.10770701099785225
-20935.75020923274,-29749.490544061777,-40.95307232752485
-23298.98160058952,-27937.268274948143,-81.52419097141104
-25506.034501128648,-25937.77608155954,-121.54898995479029
-27542.114661566247,-23764.417158063847,-160.7590590197986
-29393.573923518965,-21431.760144441872,-198.89145059780537
-31048.0017022678,-18955.441466400032,-235.69044311844263
-32494.308173281872,-16352.060518465272,-270.9092558497695
-33722.798605229844,-13639.06839255393,-304.3117037756741
-34725.23834098258,-10834.65089844416,-335.6737814076968
-35494.90799149699,-7957.606659540946,-364.7851649204812
-36026.64847218282,-5027.221102713706,-391.4506225219314
-36316.89558077621,-2063.137184569926,-415.49132362745013
-36363.703884393966,914.7762775004633,-436.7460380404917
-36166.759756073436,3886.5577875041863,-455.07221710764367
-35727.38347349888,6832.286973882236,-470.3469496021914
-35048.520365866716,9732.218116354221,-482.46778592585235
-34134.72106837248,12566.912501434574,-491.3534251037884
-32992.11101674576,15317.36871974609,-496.9442599692063
-31628.349386298574,17965.15003191383,-499.202776883579
-30052.577750711003,20492.507949345912,-498.11380731280474
-28275.358805021857,22882.501201183593,-493.68462957426794
-26308.60556290237,25119.109291166264,-485.94492007320434
-24165.501503523654,27187.33988208524,-474.94655435647553
-21860.412202645406,29073.329289034016,-460.763259317523
-19408.78904075687,30764.435407309888,-443.49011888712374
-16827.06563262041,32249.322452950208,-423.24293651790634
-14132.547673909885,33518.03694675267,-400.15745874721824
-11343.296941833736,34562.074433583366,-374.38846503542254
-8478.010227550476,35374.43648930175,-346.10872998267723
-5555.894012537078,35949.677632993575,-315.5078648896108
-2596.535727435998,36283.941830499236,-282.7910464152705
380.2275418933064,36374.988344046935,-248.1776408742271
3354.4420234003173,36222.20675506333,-211.89973337293623
6306.171009509328,35826.62105908004,-174.2005716699941
9215.62849453745,35190.88280537832,-135.33293517708051
12063.311802509563,34319.25332714447,-95.55744004117422
14830.132316158359,33217.575181277774,-55.14079167631449
17497.543431581842,31893.23298897272,-14.353996450594227
20047.664880113058,30355.103939638746,26.529455471105056
22463.40258441421,28613.498289753115,67.23542394948646
24728.563245421326,26680.090255277846,107.49095706477158
26827.962891747935,24567.839760913936,147.026121352167
28747.52866410764,22290.905570420135,185.57581181201405
30474.393152023622,19864.55038058576,222.88152955017256
31996.98065093681,17305.038514324435,258.6931151401317
33305.084760752135,14629.5268994076,292.77042607043234
34389.93680618413,11855.950062678534,324.8849470419966
35244.264619576774,9002.899911562943,354.8213223046194
35862.341292479075,6089.501107915629,382.37879976672843
36240.0235688008,3135.2828701315298,407.3725771879112
36374.77962218326,160.04806258564363,429.63504142954486
36265.70603120751,-2816.259549952359,449.0168924514867
35913.53383860943,-5773.688992474115,465.38814451373855
35320.623653780465,-8692.41581949915,478.63899787747897
34490.949831195016,-11552.875006851345,488.6805751506128
33430.073831052134,-14335.892104182883,495.4455173408745
32145.106940235106,-17022.811770550106,498.88843562453917
30644.66260387806,-19595.62282962561,498.98621579436804
28938.798686637187,-22037.0790074153,495.73817334808547
27038.95005131408,-24330.814541865628,489.1660581764527
24957.85190614843,-26461.45389046685,479.3139088195462
22709.45443500376,-28414.714799614718,466.2477572674395
20308.829282925886,-30177.504044736845,450.05518628680375
17772.06852362977,-31738.00519970907,430.84474224005726
15116.176786412196,-33085.75784691098,408.74520733500356
12358.957266032052,-34211.72769677517,383.90473618854395
9518.89237907298,-35108.36714715631,356.4898624891238
6615.019867618072,-35769.66587615857,326.68438242535535
3666.805180492602,-36191.19112952526,294.6881223659629
694.0109877840168,-36370.117432512176,260.7155990563862
-2283.435296990781,-36305.24552713096,224.99458131227925
-5245.575098080993,-35997.010407802954,187.76456286430343
-8172.552467199217,-35447.47840177042,149.2751565884406
-11044.747184710026,-34660.333313865354,109.78442089053831
-13842.906280154946,-33640.85172853183,69.55712946575652
-16548.273089685932,-32395.867635037466,28.86299604548703
-19142.712986322585,-30933.726612879713,-12.025133978329048
-21608.834939858352,-29264.229884574594,-52.833112922432626
-23930.10809110675,-27398.568611296,-93.28732890102765
-26090.972559620343,-25349.24887172881,-133.11654031807396
-28076.94374225469,-23130.007826933273,-172.05369446566604
-29874.70940293097,-20755.721633831028,-209.8377180251511
-31472.218903590674,-18242.305723994752,-246.21526748059097
-32858.76397764938,-15606.608117000711,-280.9424276962502
-34025.0505051477,-12866.296482921542,-313.7863472819138
-34963.26080828474,-10039.739711453632,-344.5267997758576
-35667.106050039685,-7145.884781286873,-372.9576601841466
-36131.86838465639,-4204.129755371248,-398.88828697474605
-36354.432577669504,-1234.1937532727775,-422.14480026451247
-36333.30688364286,1744.0152279856566,-442.5712476327431
-36068.633041719084,4710.533758533401,-460.03064974500325
-35562.18532213728,7645.476790923951,-474.4059187773444
-34817.35863019455,10529.170949816238,-485.60064348899846
-33839.145747415125,13342.286402350464,-493.53973567937624
-32634.10386261596,16065.966425258062,-498.16993369600834
-31210.31061724339,18681.953800511783,-499.4601596207237
-29577.309959448146,21172.71319262801,-497.40172773956306
-27746.04817028817,23521.548686632854,-492.0084028991762
-25728.800490123707,25712.715700159977,-483.31630835848176
-23539.08883789104,27731.526518260587,-471.38368375444384
-21191.59117385738,29564.448744807087,-456.2904948023233
-18702.043114102824,31199.196009752293,-438.13789734896886
-16087.13245539608,32624.81032498723,-417.047559367547
-13364.387317953851,33831.73553629154,-393.16084544121185
-10552.05865567456,34811.88137925638,-366.6378692018921
-7668.997920761065,35558.67771000393,-337.6564200700729
-4734.530703126158,36067.11854688239,-306.4107714926158
-1768.3271918165947,36333.79562795087,-273.1103786713597
1209.7296743323873,36356.92125949061,-237.9784744999534
4179.67748241296,36136.340302085824,-201.25057312746418
7121.608154315557,35673.531213929346,-163.17289117793922
10015.801391828587,34971.596144337986,-124.00069720996132
12842.856864165507,34035.24014363765,-83.99660047126815
15583.824251085047,32870.73962874257,-43.42879042832257
18220.330270135004,31485.900315774554,-2.5692388705592886
20734.70183704715,29890.004901334487,38.308123367386585
23110.084533017794,28093.750843266316,78.92924283290579
25330.555585115384,26109.178657739678,119.02178072685015
27381.230602313288,23949.59121325368,158.31693870099159
29248.363352020846,21629.464561964516,196.55126094927817
30919.43790714576,19164.350907075055,233.46840049192417
32383.252547199245,16570.77435534147,268.8208378337183
33629.9948501095,13866.120154186528,302.3715404605659
34651.30747146402,11068.51815572072,333.89555204964176
35440.344170130345,8196.721288926163,363.18150073760785
35991.8157047571,5269.979854039944,390.03301634030606
36302.02529307861,2307.9124824914743,414.27004701205146
36368.893396381645,-669.6253728821657,435.7300665205457
36191.971662885306,-3642.674535673389,454.2691640408931
35772.44593642969,-6591.305899955583,469.7630091635059
35113.128310238615,-9495.754022771278,482.1076856389392
34218.43827893688,-12336.549620305928,491.2203882738588
33094.37311506611,-15094.650079100846,497.039978301324
31748.46766877465,-17751.56710710708,499.5273935005791
30189.743859986105,-20289.49066929103,498.66591031662904
28428.650201534954,-22691.408376780426,494.4612562192256
26476.991759143708,-24941.219528502814,486.9415715477547
24347.85101710515,-27023.843041822653,476.1572210958755
22055.50018083604,-28925.31854762822,462.18045669919087
19615.305503430107,-30632.899972965173,445.1049330831498
