Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km)
2024-05-30 21:30:00-04:00,72.49937866394599,-21.99310944575497,270.9043104426281,-37.71279556712327,8601.855723813473
2024-05-30 21:30:01-04:00,72.53690026910525,-21.981601925182794,270.895201195715,-37.680606627474866,8596.669922984056
2024-05-30 21:30:02-04:00,72.57442412919916,-21.970094201393255,270.8860880385936,-37.64841459107026,8591.481899195092
2024-05-30 21:30:03-04:00,72.61195026460138,-21.958586289545774,270.8769709452671,-37.616219451628226,8586.291654064087
2024-05-30 21:30:04-04:00,72.64947869525344,-21.947078204969813,270.86784988985755,-37.58402120329424,8581.099189281678
2024-05-30 21:30:05-04:00,72.6870094412146,-21.935569963004795,270.85872484643687,-37.55181984014135,8575.904506531171
2024-05-30 21:30:06-04:00,72.72454252294737,-21.924061578913566,270.84959578892415,-37.519615355885485,8570.70760744262
2024-05-30 21:30:07-04:00,72.76207796067516,-21.912553068075294,270.8404626913024,-37.48740774450455,8565.508493692707
2024-05-30 21:30:08-04:00,72.79961577454618,-21.90104444593196,270.83132552756325,-37.45519700007224,8560.307166977995
2024-05-30 21:30:09-04:00,72.83715598506595,-21.889535727868907,270.8221842715574,-37.42298311635652,8555.103628950066
2024-05-30 21:30:10-04:00,72.87469861279261,-21.878026929297818,270.81303889710836,-37.39076608711164,8549.89788126268
2024-05-30 21:30:11-04:00,72.91224367797089,-21.866518065765963,270.80388937811983,-37.358545906407706,8544.689925625049
2024-05-30 21:30:12-04:00,72.949791201268,-21.855009152744092,270.79473568834175,-37.32632256795814,8539.47976369322
2024-05-30 21:30:13-04:00,72.98734120339408,-21.843500205732216,270.7855778014887,-37.29409606545719,8534.267397124519
2024-05-30 21:30:14-04:00,73.02489370488155,-21.831991240329454,270.77641569131976,-37.261866392805345,8529.052827614123
2024-05-30 21:30:15-04:00,73.06244872643013,-21.820482272130057,270.76724933151525,-37.229633543769296,8523.83605684003
2024-05-30 21:30:16-04:00,73.10000628879578,-21.808973316756777,270.7580786957233,-37.19739751209858,8518.617086481969
2024-05-30 21:30:17-04:00,73.13756641272562,-21.79746438988068,270.7489037575711,-37.16515829157688,8513.395918229675
2024-05-30 21:30:18-04:00,73.17512911920561,-21.78595550714852,270.7397244905941,-37.13291587580205,8508.172553747338
2024-05-30 21:30:19-04:00,73.2126944291491,-21.77444668427323,270.7305408683265,-37.10067025846249,8502.946994718293
2024-05-30 21:30:20-04:00,73.2502623633518,-21.762937937049678,270.7213528643268,-37.068421433396914,8497.71924285481
2024-05-30 21:30:21-04:00,73.28783294295512,-21.751429281215405,270.7121604520154,-37.03616939414176,8492.489299824734
2024-05-30 21:30:22-04:00,73.32540618928186,-21.73992073250198,270.702963604739,-37.00391413410341,8487.257167279342
2024-05-30 21:30:23-04:00,73.36298212310747,-21.72841230684897,270.6937622959974,-36.97165564722652,8482.022846961807
2024-05-30 21:30:24-04:00,73.4005607656776,-21.71690402010049,270.6845564991226,-36.939393927047966,8476.786340553776
2024-05-30 21:30:25-04:00,73.43814213836326,-21.70539588811672,270.6753461873785,-36.9071289670212,8471.547649727956
2024-05-30 21:30:26-04:00,73.47572626234368,-21.693887926856664,270.666131334076,-36.87486076080937,8466.306776195715
2024-05-30 21:30:27-04:00,73.51331315908973,-21.682380152239887,270.6569119124074,-36.842589301829975,8461.063721633156
2024-05-30 21:30:28-04:00,73.55090284995934,-21.670872580270224,270.6476878955826,-36.81031458364725,8455.818487744888
2024-05-30 21:30:29-04:00,73.58849535635574,-21.659365226982576,270.6384592567718,-36.7780365998052,8450.571076236878
2024-05-30 21:30:30-04:00,73.62609070010497,-21.64785810833616,270.629225968991,-36.745755343492014,8445.321488761963
2024-05-30 21:30:31-04:00,73.66368890230638,-21.636351240551885,270.6199880054666,-36.713470808603056,8440.069727092634
2024-05-30 21:30:32-04:00,73.70128998501379,-21.624844639616327,270.61074533909476,-36.68118298817342,8434.815792866193
2024-05-30 21:30:33-04:00,73.73889396956324,-21.613338321777597,270.6014979429823,-36.64889187594472,8429.559687839606
2024-05-30 21:30:34-04:00,73.7765008781205,-21.601832303084905,270.59224578994514,-36.61659746491155,8424.30141365301
2024-05-30 21:30:35-04:00,73.81411073213533,-21.59032659985071,270.5829888530045,-36.58429974877157,8419.040972065719
2024-05-30 21:30:36-04:00,73.85172355347123,-21.57882122831063,270.57372710503245,-36.551998720871765,8413.77836478477
2024-05-30 21:30:37-04:00,73.88933936446536,-21.5673162046107,270.56446051871535,-36.51969437414,8408.51359345365
2024-05-30 21:30:38-04:00,73.9269581865611,-21.555811545209952,270.55518906701553,-36.48738670238477,8403.246659864162
2024-05-30 21:30:39-04:00,73.96458004215022,-21.544307266336048,270.5459127225554,-36.45507569854848,8397.977565671756
2024-05-30 21:30:40-04:00,74.0022049531487,-21.53280338440614,270.53663145809674,-36.422761356061415,8392.706312616256
2024-05-30 21:30:41-04:00,74.03983294182996,-21.521299915783946,270.5273452462522,-36.390443668046146,8387.432902392138
2024-05-30 21:30:42-04:00,74.07746403034393,-21.509796876916774,270.5180540596569,-36.35812262777698,8382.157336723461
2024-05-30 21:30:43-04:00,74.11509824089622,-21.498294284283922,270.5087578709045,-36.3257982285079,8376.879617335886
2024-05-30 21:30:44-04:00,74.15273559599872,-21.486792154329017,270.4994566524599,-36.29347046324241,8371.599745919042
2024-05-30 21:30:45-04:00,74.19037611785443,-21.475290503633094,270.49015037686564,-36.26113932530159,8366.317724219321
2024-05-30 21:30:46-04:00,74.22801982909176,-21.46378934870428,270.4808390165036,-36.228804807649105,8361.03355392965
2024-05-30 21:30:47-04:00,74.26566675203344,-21.452288706190433,270.47152254382576,-36.19646690356142,8355.747236799001
2024-05-30 21:30:48-04:00,74.30331690924436,-21.440788592718064,270.4622009311867,-36.16412560612896,8350.458774550909
2024-05-30 21:30:49-04:00,74.34097032346948,-21.429289024914357,270.4528741508482,-36.131780908301934,8345.168168890908
2024-05-30 21:30:50-04:00,74.37862701726893,-21.417790019507603,270.4435421751148,-36.09943280324002,8339.875421563816
2024-05-30 21:30:51-04:00,74.41628701351135,-21.4062915931922,270.4342049761579,-36.06708128384967,8334.580534277966
2024-05-30 21:30:52-04:00,74.4539503349368,-21.394793762746005,270.4248625261717,-36.03472634319041,8329.2835087718
