Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-09 19:00:00-07:00,110.68648122875064,-5.275012616683626,137.93711689971465,42.27942934596043,37580.911311420416,0%
2025-03-09 19:01:00-07:00,110.93740245875667,-5.274256510709884,137.93669546474337,42.279431846781705,37580.97009196265,0%
2025-03-09 19:02:00-07:00,111.18832264224764,-5.27350064851387,137.9362744176522,42.27943536462905,37581.029088333715,0%
2025-03-09 19:03:00-07:00,111.43924177594832,-5.27274504451683,137.93585376513207,42.27943989884131,37581.08829944581,0%
2025-03-09 19:04:00-07:00,111.69015985659085,-5.271989713134998,137.9354335138715,42.27944544874026,37581.14772420685,0%
2025-03-09 19:05:00-07:00,111.94107688094137,-5.271234668779261,137.93501367054498,42.27945201362476,37581.20736152099,0%
2025-03-09 19:06:00-07:00,112.19199284576908,-5.270479925855046,137.93459424183547,42.27945959278208,37581.26721028758,0%
2025-03-09 19:07:00-07:00,112.44290774788527,-5.26972549876173,137.93417523439368,42.27946818546774,37581.327269403024,0%
2025-03-09 19:08:00-07:00,112.6938215841015,-5.268971401892743,137.93375665488475,42.27947779092879,37581.38753775875,0%
2025-03-09 19:09:00-07:00,112.94473435125677,-5.268217649635002,137.93333850995822,42.27948840838883,37581.448014242524,0%
2025-03-09 19:10:00-07:00,113.19564604621578,-5.267464256368768,137.9329208062516,42.27950003705015,37581.508697738296,0%
2025-03-09 19:11:00-07:00,113.44655666586026,-5.26671123646726,137.9325035503904,42.27951267609355,37581.56958712618,0%
2025-03-09 19:12:00-07:00,113.69746620708217,-5.2659586042966335,137.93208674901103,42.27952632468985,37581.6306812817,0%
2025-03-09 19:13:00-07:00,113.94837466681233,-5.265206374215346,137.93167040871828,42.27954098197897,37581.69197907722,0%
2025-03-09 19:14:00-07:00,114.1992820419907,-5.2644545605741575,137.93125453612103,42.27955664708761,37581.75347938088,0%
2025-03-09 19:15:00-07:00,114.45018832957834,-5.263703177715762,137.93083913781913,42.27957331912292,37581.81518105689,0%
2025-03-09 19:16:00-07:00,114.70109352656226,-5.262952239974461,137.93042422039903,42.27959099717026,37581.87708296583,0%
2025-03-09 19:17:00-07:00,114.95199762994767,-5.262201761675983,137.93000979043643,42.27960968029475,37581.93918396445,0%
2025-03-09 19:18:00-07:00,115.20290063675264,-5.2614517571372135,137.92959585451268,42.27962936754949,37582.00148290524,0%
2025-03-09 19:19:00-07:00,115.45380254403457,-5.260702240665723,137.92918241917377,42.27965005795504,37582.063978637874,0%
2025-03-09 19:20:00-07:00,115.70470334885565,-5.259953226559771,137.92876949097823,42.27967175052364,37582.12667000743,0%
2025-03-09 19:21:00-07:00,115.95560304830049,-5.2592047291079185,137.92835707647237,42.27969444424667,37582.18955585532,0%
2025-03-09 19:22:00-07:00,116.20650163948591,-5.25845676258862,137.9279451821811,42.27971813809047,37582.25263501981,0%
2025-03-09 19:23:00-07:00,116.45739911953785,-5.257709341270174,137.92753381462978,42.27974283100695,37582.315906334974,0%
2025-03-09 19:24:00-07:00,116.70829548560795,-5.256962479410306,137.92712298033192,42.27976852192787,37582.37936863135,0%
2025-03-09 19:25:00-07:00,116.95919073487032,-5.256216191255939,137.92671268579014,42.279795209765176,37582.44302073591,0%
2025-03-09 19:26:00-07:00,117.21008486452149,-5.255470491042867,137.92630293749136,42.27982289340875,37582.50686147218,0%
2025-03-09 19:27:00-07:00,117.46097787177038,-5.2547253929956526,137.92589374192735,42.27985157173685,37582.57088965951,0%
