index,center_x,center_y,length,angle_rad,flux,flux_err,avg_fwhm,sky_median,bkg_subtracted_flux,magzero,magzero_err,snr,saturated
1,2474.7262,77.6936,105.2075,0.6360,5419593.0000,2340.0669,2.6274,2641.0000,1788218.0000,16.8349,0.0005,764.17,False
2,834.1015,80.8605,74.4038,0.6290,3071052.0000,1764.1476,2.4366,2680.0000,377652.0000,16.2182,0.0006,214.07,False
3,2450.4588,291.5557,104.6114,0.6375,4705558.0000,2182.1165,2.8436,2655.0000,1070863.0000,16.6815,0.0005,490.75,False
4,2276.2614,548.8239,108.5976,0.6348,5224947.0000,2298.4572,2.4635,2688.0000,1421427.0000,16.7952,0.0005,618.43,False
5,949.7554,833.3312,104.4031,0.6361,4735608.0000,2188.9724,2.5994,2733.0000,999597.0000,16.6884,0.0005,456.65,False
6,2327.3036,895.7651,104.1945,0.6374,4438085.0000,2119.9239,2.6257,2694.0000,755387.0000,16.6180,0.0005,356.33,False
7,2506.5719,928.4031,105.8017,0.6383,5044557.0000,2258.5847,2.5385,2684.0000,1332585.0000,16.7571,0.0005,590.01,False
8,1796.8178,931.2467,104.4031,0.6363,4899389.0000,2226.0594,2.7028,2747.0000,1146987.0000,16.7254,0.0005,515.25,False
9,1838.8324,940.7268,103.8089,0.6362,4728261.0000,2187.2374,2.6041,2744.5000,992996.5000,16.6868,0.0005,454.00,False
10,2621.4720,1020.0380,78.0058,0.6346,3198433.0000,1800.3889,2.4977,2674.0000,393407.0000,16.2623,0.0006,218.51,False
11,2085.9208,1087.1065,104.4024,0.6395,4510827.0000,2136.9926,2.4956,2722.0000,795297.0000,16.6356,0.0005,372.16,False
12,2077.1203,1110.3377,104.9982,0.6377,4790697.0000,2201.5849,2.4924,2732.0000,1036929.0000,16.7010,0.0005,470.99,False
13,2865.0516,1111.4299,104.9959,0.6347,4599029.0000,2157.6258,2.5616,2661.0000,940154.0000,16.6567,0.0005,435.74,False
14,429.0453,1242.9382,104.4024,0.6323,4538404.0000,2143.4352,2.5421,2730.0000,811954.0000,16.6423,0.0005,378.81,False
15,2416.6276,1634.3282,107.4071,0.6389,7273582.0000,2707.5910,2.8558,2731.0000,3441989.0000,17.1544,0.0004,1271.24,False
16,1991.7669,1685.3134,107.2007,0.6395,7727888.0000,2790.2029,2.6256,2754.0000,3872288.0000,17.2202,0.0004,1387.82,False
17,2365.9261,1802.5997,107.7961,0.6380,8057627.0000,2848.7435,2.7612,2737.0000,4201194.0000,17.2655,0.0004,1474.75,False
18,1060.1808,1965.7547,104.4030,0.6351,4452321.0000,2123.2596,2.6842,2748.0000,701301.0000,16.6215,0.0005,330.29,False
19,1288.2549,2030.8304,105.8017,0.6382,5163932.0000,2284.8588,2.5729,2747.0000,1364831.0000,16.7825,0.0005,597.34,False
