X,Y,Z
5639.825454342206,2083.4221174943045,2134.3329282280465
5491.062730161374,2448.4070046041334,2134.7574000029535
5318.6839469842225,2802.849960122098,2135.2491884473616
5123.431303202523,3145.2248857376762,2135.8061763957257
4906.145483465608,3474.0576435483013,2136.4259659540935
4667.7620390088105,3787.9324031421143,2137.1058888233747
4409.307359519861,4085.497737634062,2137.8430177868927
4131.894253891365,4365.472442401162,2138.634179312758
3836.7171588821,4626.6510514702195,2139.475967216828
3525.0469963219543,4867.909027800497,2140.3647573273947
3198.225700998548,5088.207605119109,2141.2967230885038
2857.660442790234,5286.598260458205,2142.267852034696
2504.8175679206543,5462.226798138962,2143.2739630662645
2141.216285422281,5614.337027617562,2144.310724450621
1768.4221259924686,5742.274019357841,2145.373672472309
1388.0402014064691,5845.486924711898,2146.45823065132
1001.7082935072298,5923.53134766799,2147.559729447013
611.089802533472,5976.0712582524575,2148.6734263627695
217.8665851404444,6002.880439349097,2149.7945263648435
-176.26828704134653,6003.843460704858,2150.9182025274768
-569.6178171392588,5978.956175929331,2152.0396168154075
-960.4883896680866,5928.325740347529,2153.1539409142847
-1347.1970626041325,5852.170149629235,2154.256377019298
-1728.078813501114,5750.81730118152,2155.342178492516
-2101.4937084521143,5624.70358234554,2156.406670300008
-2465.8339630293453,5474.371991476486,2157.4452691407255
-2819.53086480032,5300.469799996515,2158.4535031805053
-3161.061527615402,5103.745765486636,2159.427031306205
-3488.955448582831,4885.046907818187,2160.3616618170845
-3801.8008395028605,4645.31486220295,2161.2533704729394
-4098.250705498478,4385.581824864799,2162.0983178213023
-4377.028644668224,4106.966108791389,2162.8928657290653
-4636.934343795356,3810.6673286967603,2163.633593047393
-4876.848746444539,3497.9612359320668,2164.317310342427
-5095.738871199869,3170.194225578039,2164.9410736284003
-5292.662259294647,2828.7775393736297,2165.502197043985
-5466.771032485106,2475.181189438827,2165.9982644173333
-5617.315543696175,2110.927628953592,2166.427139669989
-5743.647604719801,1737.5851970472856,2166.786976014863
-5845.223277070815,1356.7613661171852,2167.076223908699
-5921.605213981233,970.0958206574857,2167.293637724755
-5972.464543451638,579.2533973925408,2167.4382811169717
-5997.5822842505695,185.91691711402993,2167.509531052551
-5996.850288765318,-208.22006091187285,2167.5070804955435
-5970.2717086450875,-601.460530777154,2167.4309397299044
-5917.960981231182,-992.1113466002986,2167.281436316328
-5840.14333683264,-1378.4905125789005,2167.0592136830137
-5737.1538289691625,-1758.9344250310035,2166.765228356443
-5609.435891756532,-2131.8050352480514,2166.4007458441
-5457.539430645336,-2495.4969023191147,2165.9673351868246
-5282.118454735155,-2848.4441055549514,2165.466862204272
-5083.928260856032,-3189.1269867566994,2164.9014814625593
-4863.822181544628,-3516.0786932919714,2164.273626998667
-4622.747910914308,-3827.8914938125035,2163.586001841522
-4361.743424239459,-4123.222839417503,2162.8415663748992
-4081.9325088247247,-4400.801144163861,2162.0435255922257
-3784.519925397362,-4659.43126003947,2161.1953152981528
-3470.786220860789,-4897.999622820831,2160.3005873163193
-3142.0822147397726,-5115.479046663155,2159.363193766988
-2799.8231830585487,-5310.933146777033,2158.387170482225
-2445.4827646941058,-5483.520371149511,2157.3767196300605
-2080.5866164389913,-5632.4976239518855,2156.3361916224167
-1706.705844097579,-5757.223465030573,2155.270066384692
-1325.4502378922748,-5857.160871708427,2154.1829340676773
-938.4613413130551,-5931.8795510021555,2153.0794752848074
-547.4053832452437,-5981.057792302944,2151.9644409598636
-153.9661038153567,-6004.483852541171,2150.842631871888
240.16249516335702,-6002.056867872842,2149.7188779853686
633.2834439262307,-5973.787287961344,2148.598017654694
1023.704111272157,-5919.79683098513,2147.4848767924277
1409.743492398205,-5840.3179595649335,2146.384248091076
1789.7394466752262,-5735.6928798670215,2145.300870387813
2162.055854202166,-5606.372068191677,2144.239408261023
2525.089660323062,-5452.912331391703,2143.2044319465003
2877.277777779369,-5275.974409470973,2142.2003976597703
3217.103816777689,-5076.320130685556,2141.2316284092744
3543.104613993378,-4854.809131398082,2140.302295383031
3853.8765324044834,-4612.395154805133,2139.416399988878
4148.0815048242075,-4350.121944478156,2138.5777566256847
4424.45279511723,-4069.1187503945152,2137.789976259668
4681.800452289405,-3770.5954668114273,2137.0564508765424
4919.016433970209,-3455.8374229153665,2136.380338876462
5135.079377227625,-3126.199848676535,2135.764551474618
5329.05899617273,-2783.10203973852,2135.211740166069
5500.120087422655,-2428.021246462238,2134.7242853087573
5647.5261261718715,-2062.4863134420257,2134.3042858738963
5770.642437392007,-1688.0710968740166,2133.953550407838
5868.938928504505,-1306.3876881212268,2133.67358924435
5941.992371759724,-919.0794726551418,2133.4656080008463
5989.488226497306,-527.814054252552,2133.3305023865555
6011.221993439802,-134.27607492178947,2133.268854345007
6007.100095190055,259.8400385354391,2133.280929547431
