X,Y,Z
-11357.262931409332,38074.92093108347,14050.201824283533
-13828.174972280742,37002.724896077525,14685.542621339646
-16239.462608577465,35770.98018929833,15257.557778683344
-18580.728421616408,34384.99694053536,15763.78031463815
-20841.87685097589,32850.75050115728,16202.02697400301
-23013.157751712133,31174.85567773146,16570.40765210781
-25085.20846173135,29364.538204806522,16867.333553659082
-27049.094197391976,27427.603580153096,17091.524051070446
-28896.34660293685,25372.403396954844,17242.01221264752
-30619.000287093466,23207.79931844785,17318.148976719443
-32209.627189083138,20943.124850527496,17319.605953671195
-33661.36862550808,18588.14507749898,17246.376843763584
-34967.96487971607,16153.014534842498,17098.777464606315
-36123.7822057926,13648.23340100129,16877.44438816306
-37123.837130559994,11084.60219737802,16583.33219317267
-37963.81794858422,8473.175192269642,16217.709344858518
-38640.10331736242,5825.212709998951,15782.152719729658
-39149.77787237114,3152.1325513003862,15278.540799137809
-39490.64479455409,465.4607348210321,14709.045561009256
-39661.23527599379,-2223.2182274330107,14076.123104804989
-39660.814842933454,-4902.311305844699,13382.503050241397
-39489.386508913274,-7560.266964177167,12631.176755614491
-39147.69074449688,-10185.624989754137,11825.384406678595
-38637.202263863466,-12767.065927414153,10968.60103192407
-37960.123642295155,-15293.459903744568,10064.52150474701
-37119.37579236208,-17753.914630514733,9117.044597393351
-36118.585340165635,-20137.822380010635,8130.256155665473
-34962.068956485986,-22434.90572926067,7108.411467186828
-33654.81471083013,-24635.261875629374,6055.916899509084
-32202.460527702427,-26729.40533455464,4977.310886350913
-30611.269846368257,-28708.308823987092,3877.2443499937526
-28888.10457452325,-30563.44218207487,2760.4606329704966
-27040.39546782808,-32286.80912660708,1631.7750373900094
-25076.110056647944,-33870.981709934335,496.0540545886254
-23003.718260341953,-35309.13231847887,-641.8056239454486
-20832.15583809454,-36595.06307911056,-1776.8982236781014
-18570.785834566246,-37723.23254598162,-2904.3300409474878
-16229.358187287484,-38688.77955322317,-4019.2405423570285
-13817.967670544404,-39487.544131261224,-5116.823318584923
-11347.010357662086,-40116.085397233495,-6192.346802229071
-8827.13878986755,-40571.69634313739,-7241.174660376583
-6269.216045416641,-40852.41545877886,-8258.785774042333
-3684.2689072688036,-40957.03514030417,-9240.793718460194
-1083.4403313809157,-40885.10684898392,-10182.965660414728
1522.0585794153235,-40636.94299895131,-11081.240591370655
4120.996889020799,-40213.61556669988,-11931.746818067639
6702.172221115133,-39616.95142925016,-12730.81863549582
9254.459023389478,-38849.52445194928,-13475.012110731137
11766.856495361131,-37914.64436082496,-14161.119909972736
14228.5359738473,-36816.34244816758,-14786.185105273804
16628.887572497533,-35559.354173578875,-15347.513901869386
18957.565875183976,-34149.09873597103,-15842.687231660782
21204.534487160323,-32591.655704932014,-16269.571163300292
23360.109252923285,-30893.738812384025,-16626.326084402437
25414.99995543781,-29062.667017577784,-16911.414616677637
27360.35031802539,-27106.33297001465,-17123.60823020904
29187.776137400502,-25033.169006044038,-17261.99252865449
30889.40138457307,-22852.110825164666,-17325.971182845755
32457.89211872415,-20572.559002230348,-17315.26849600197
33886.488068839106,-18204.338500622907,-17229.930589635504
35169.03174759197,-15757.656360219038,-17070.325205093057
36299.994972631226,-13243.057741598046,-16837.140121579014
37274.50268140146,-10671.380515018198,-16531.38019740616
38088.35393717756,-8053.708588890263,-16154.363047086721
38738.0400359358,-5401.324177922601,-15707.713372696526
39220.759636051465,-2725.659215603844,-15193.355973690475
39534.43084546631,-38.24611949557416,-14613.507464992726
39677.700213954,2649.3318794262377,-13970.66673871403
39649.94859130487,5325.490630124977,-13267.60421022947
39451.29382563534,7978.694963335135,-12507.349894568037
39082.59028953418,10597.508387396105,-11693.18036409367
38545.42523533014,13170.642364490835,-10828.604643276987
37842.11199437329,15687.004955251115,-9917.349100944735
36975.68004874273,18135.74862239709,-8963.341404733685
35949.86201727079,20506.31698744137,-7970.693606541592
34769.07761104119,22788.49033893497,-6943.684431548334
33438.414626611106,24972.429695923343,-5886.740846854946
31963.60705637233,27048.71923854063,-4804.418987799532
30351.010417400656,29008.406911522696,-3701.3845296613526
28607.57438917723,30843.04304755321,-2582.392577829301
26740.81289213974,32544.716820249672,-1452.2671743959243
24758.77172836139,34106.090380842455,-315.8805038273731
22669.993924661187,35520.430528259145,821.8681115655446
20483.482927244753,36781.63777523328,1956.0733356687813
18208.66380617412,37884.27268441389,3081.844971005556
15855.342636794401,38823.57936010066,4194.3290482146085
13433.664233125957,39595.505993568666,5288.728761468415
10954.068415480278,40196.722372646844,6360.325159358829
8427.245000996812,40624.63427934163,7404.497501809943
5864.087711322185,40877.39471279223,8416.743194996157
3275.647196471002,40953.911888565264,9392.697218052635
673.0833777315125,40853.85397928125,10328.150957547316
-1932.382684473483,40577.650575679625,11219.070368238366
-4529.5171898435665,40126.49086145439,12061.61338154936
-7107.122055396195,39502.31850943008,12852.146486445197
-9654.083221214827,38707.8233208591,13587.260410975741
-12159.418595919333,37746.42964374635,14263.784836643432
-14612.325434702509,36622.28162004639,14878.802081942753
-17002.226945133873,35340.22532532092,15429.65969587937
-19318.81791927924,33905.787877915864,15913.981907000434
-21552.109194999335,32325.15360778891,16329.67987841933
-23692.470754218975,30605.137387897863,16674.96072448825
-25730.6732719872,28753.155243275167,16948.335250130043
