name,latitude,longitude,timezone,diameter,elevation,light_pollution
"George Mason Univ. Observatory, Virginia",38.8282,-77.3053,EST5EDT,0.8128,135,13
"Bowling Green State Univ. Observatory, Ohio",41.378333,-83.659167,EST5EDT,0.5,215,11
"Collins Observatory, Colby College, Maine",44.56667,-69.656378,EST5EDT,0.7,65,9
"Smith College Observatory, Northampton, MA",42.317036,-72.639514,EST5EDT,0.4064,63,10
"Moore Observatory, Univ. of Louisville, Kentucky",38.344792,-85.528475,EST5EDT,0.6,220,12
"Harvard Clay Telescope, Cambridge, MA",42.3766,-71.1169,EST5EDT,0.4064,17,14
"Leander McCormick Observatory, Univ. of Virginia",38.033333,-78.523333,EST5EDT,0.6604,252,10
"Michael L. Britton Observatory, Dickinson College, PA",40.20398,-77.19786,EST5EDT,0.6096,148,11
"Fan Mountain Observatory, VA",37.878333,-78.693333,EST5EDT,0.6604,553,11
"Whitin Observatory, Wellesley College, MA",42.295,-71.305833,EST5EDT,0.6096,43,7
"Olin Observatory, Connecticut College, CT",41.378889,-72.105278,EST5EDT,0.508,65,11
"Sperry Observatory, Union County College, NJ",40.66632,-74.32327,EST5EDT,0.6096,23,11
"Peter van de Kamp Observatory, Swarthmore College, PA",39.9071,-75.35555,EST5EDT,0.6096,71,12
"Union College Observatory, NY",42.8176,-73.9283,EST5EDT,0.508,92,11
"Van Vleck Observatory, Wesleyan University, CT",41.555,-72.659167,EST5EDT,0.6096,62,11
"Vassar College Observatory, Poughkeepsie, NY",41.683011,-73.890604,EST5EDT,0.8128,60,11
"Williams College Observatory, MA",42.7115,-73.2052,EST5EDT,0.6096,222,8
"Mittelman Observatory, Middlebury College, VT",44.0134,-73.1813,EST5EDT,0.6096,122,8
"George R. Wallace, Jr. Astrophysical Observatory, MA",42.295,-71.485,EST5EDT,0.6096,91,12
"Foggy Bottom Observatory, Colgate Univ., NY",42.81651,-75.532568,EST5EDT,0.4064,410,8
"Breyo Observatory, Siena College, NY",42.719546,-73.751433,EST5EDT,0.7,97,14
"C.E.K. Mees Observatory, Univ. Rochester, NY",42.7002778,-77.4087667,EST5EDT,0.6096,690,7
"Observatoire du Mont-Mégantic, Québec",45.455683,-71.1521,America/Toronto,1.6,1089,5
Kitt Peak National Observatory,31.963333,-111.6,America/Phoenix,4,2120,3
Mount Lemmon,32.416667,-110.731667,America/Phoenix,1.52,2510,7
MMT Observatory,31.688333,-110.885,America/Phoenix,6.5,2608,3
Lowell Observatory,35.096667,-111.535,America/Phoenix,4.3,2198,5
Whipple Observatory,31.680944,-110.8775,America/Phoenix,4.7,2320,5
