priority value,name
0.11308309608954825,Mount Graham Observatory
0.20759307346828382,"Mauna Kea (Keck, Gemini, CFHT, Subaru, IRTF, etc.)"
0.23005435135965935,McDonald Observatory
0.3150554241314746,European Southern Observatory: Paranal
0.3163452797975147,ALMA
0.31939836496680474,Vera C. Rubin Observatory
0.33096398126324356,Gemini South Observatory
0.3701374454928359,"Roque de los Muchachos, La Palma"
0.39205699861716303,MMT Observatory
0.42393166959785433,Las Campanas Observatory
0.5006124777578806,Whipple Observatory
0.5171831929906543,South African Astronomical Observatory
0.5223777521320064,Palomar Observatory
0.5339557052791248,Apache Point Observatory
0.5362948088026062,Lowell Observatory
0.5376560982627661,Kitt Peak National Observatory
0.5688127211814267,European Southern Observatory: La Silla
0.5972154168230444,"Observatorio Astronomico Nacional, San Pedro Martir"
0.6395566500961145,National Observatory of Venezuela
0.6424482807235407,"Complejo Astronomico El Leoncito, San Juan, Argentina"
0.6600523814213024,Lick Observatory
0.6614145411822028,Mount Lemmon
0.674963890509058,"Las Cumbres Observatory, CA"
0.6854813853858707,Cerro Tololo Interamerican Observatory
0.6929405594599554,"Observatorio Astronomico Nacional, Tonantzintla"
0.7024694664942259,"Table Mountain Observatory, CA"
0.7097453466612189,Wyoming Infrared Observatory (WIRO)
0.7238824968527071,"New Mexico Skies, Mayhill, NM"
0.7328840688997504,Winer Observatory
0.7437262451354589,"Red Buttes Observatory, Wyoming"
0.7489739193035028,"Estacion Astrofisica Bosque Alegre, Cordoba, Argentina"
0.7607029978606386,"Calar Alto Observatory, Spain"
0.763042472670126,Rothney Astrophysical Observatory (Calgary)
0.7641361511233715,"Laboratorio Nacional de Astrofisica, Brazil"
0.7677235621831477,Anglo-Australian Observatory / Siding Spring
0.7719702026252364,"Observatoire du Mont-Mégantic, Québec"
0.7721832063202635,"Sommers-Bausch Observatory, Univ. of Colorado"
0.7740176858779895,"Sierra Remote Observatories, CA"
0.7748899330595708,Boyce-Astro Research Observatory (San Diego)
0.7870267049316209,"SLN - Catania Astrophysical Observatory, Italy"
0.7984619562448425,Dominion Astrophysical Observatory
0.8148968953137354,"Observatorio Astronomico de La Plata, Buenos Aires"
0.8295512289307997,"C.E.K. Mees Observatory, Univ. Rochester, NY"
0.8332621927813143,"Fan Mountain Observatory, VA"
0.8357196390720933,"Mount John University Observatory, New Zealand"
0.8389221535793896,"Observatorio de Sierra Nevada, Spain"
0.8417295190583622,Maury Lewin Astronomical Observatory
0.8422706295219083,"Leander McCormick Observatory, Univ. of Virginia"
0.8436132894859232,"Griffith Observatory, CA"
0.845262228662287,"Moore Observatory, Univ. of Louisville, Kentucky"
0.8499660680291068,"Indian Astronomical Observatory, Hanle"
0.8537133274070401,"George Mason Univ. Observatory, Virginia"
0.8571350325408098,"Bowling Green State Univ. Observatory, Ohio"
0.8572157155491799,"Foggy Bottom Observatory, Colgate Univ., NY"
0.857581211112907,"Williams College Observatory, MA"
0.8596465282700458,"Michael L. Britton Observatory, Dickinson College, PA"
0.8612365404393911,"Vassar College Observatory, Poughkeepsie, NY"
0.8630308610988817,"Whitin Observatory, Wellesley College, MA"
0.8645343959417929,"Mittelman Observatory, Middlebury College, VT"
0.8682813742752646,"Peter van de Kamp Observatory, Swarthmore College, PA"
0.8699097185178708,"Sperry Observatory, Union County College, NJ"
0.8721526528777033,"Collins Observatory, Colby College, Maine"
0.8728750810591828,"Van Vleck Observatory, Wesleyan University, CT"
0.8752988385535195,"Aryabhatta Research Institute, India"
0.877736622355104,"Union College Observatory, NY"
0.8782957073030732,"Olin Observatory, Connecticut College, CT"
0.8786821746099902,"Breyo Observatory, Siena College, NY"
0.8787082674930525,"George R. Wallace, Jr. Astrophysical Observatory, MA"
0.881147662255287,"Smith College Observatory, Northampton, MA"
0.8996893455885479,"Harvard Clay Telescope, Cambridge, MA"
0.9015890336977387,National Astronomical Observatory Rozhen - Bulgaria
0.9204529247410426,"Tubitak National Observatory, Turkey"
0.9357019232803244,"Boyden Observatory, Bloemfontein, South Africa"
0.9409340310037498,"Mt. Ekar Observatory, Asiago, Italy"
0.9460122009819724,"Beijing XingLong Observatory, China"
0.9479500852388048,Mt. Kent Observatory
0.9911517602980663,Observatorium Hoher List (Universität Bonn) - Germany
0.995767855682643,Mt. Stromlo Observatory
1.0419010465244771,"Ege University Observatory, Izmir, Turkey"
1.0482856032219978,"Vainu Bappu Observatory, India"
