X,Y,Z
38219.44454805863,-17830.825978970297,-99.78432997297556
38220.74434265507,-17828.040398518086,-99.79002064772278
38222.04393416351,-17825.254723334456,-99.79571079385138
38223.343322576424,-17822.46895343553,-99.80140041132721
38224.64250788729,-17819.683088835394,-99.80708950012374
38225.94149008851,-17816.897129550176,-99.812778060203
38227.24026917418,-17814.111075592744,-99.81846609154528
38228.53884513701,-17811.324926978632,-99.82415359411455
38229.8372179695,-17808.538683723928,-99.82984056787892
38231.135387665614,-17805.752345841665,-99.83552701281334
38232.433354217465,-17802.965913348784,-99.84121292888263
38233.73111761959,-17800.17938625696,-99.84689831606866
38235.02867786459,-17797.39276458214,-99.8525831743177
38236.326034944046,-17794.60604834242,-99.8582675036182
38237.623188852915,-17791.819237548625,-99.86395130393927
38238.920139583955,-17789.032332216346,-99.86963457524536
38240.216887130024,-17786.2453323609,-99.87531731750892
38241.51343148441,-17783.45823799673,-99.88099953070062
38242.80977264001,-17780.67104913925,-99.88668121478734
38244.1059105895,-17777.883765803956,-99.89236236973707
38245.40184532705,-17775.0963880037,-99.89804299552839
38246.69757684471,-17772.308915755395,-99.90372309212249
38247.99310513644,-17769.521349072027,-99.90940265949517
38249.28843019464,-17766.73368797006,-99.91508169761096
38250.58355201341,-17763.945932462208,-99.92076020644818
38251.878470585136,-17761.158082564813,-99.92643818596756
38253.17318590202,-17758.370138294747,-99.9321156361469
38254.46769795984,-17755.582099661002,-99.93779255694417
38255.76200675002,-17752.79396668214,-99.94346894834328
38257.05611226464,-17750.005739375218,-99.94914481030595
38258.35001449841,-17747.217417751697,-99.95482014280311
38259.6437134445,-17744.429001826204,-99.96049494580879
38260.937209095115,-17741.640491615606,-99.96616921928748
38262.23050144443,-17738.851887132492,-99.97184296321977
38263.523590484605,-17736.063188393764,-99.97751617755378
38264.81647620976,-17733.27439541209,-99.98318886228068
38266.109158611675,-17730.48550820523,-99.98886101736085
38267.40163768466,-17727.696526785458,-99.99453264276814
38268.693913421615,-17724.907451168187,-100.00020373847197
38269.985985814965,-17722.11828136968,-100.00587430443815
38271.2778548589,-17719.3290174025,-100.01154434063977
38272.56952054567,-17716.539659283422,-100.01721384704729
38273.86098286828,-17713.75020702754,-100.02288282362815
38275.152241821226,-17710.960660646822,-100.0285512703559
38276.443297397185,-17708.171020157053,-100.03421918719832
38277.73414958788,-17705.38128557613,-100.03988657412606
38279.02479838815,-17702.59145691517,-100.04555343110803
38280.31524379013,-17699.801534191254,-100.05121975811578
38281.605485788,-17697.011517416937,-100.05688555512133
38282.89552437323,-17694.221406610774,-100.06255082208467
38284.185359540774,-17691.431201783547,-100.06821555898563
38285.474991283096,-17688.64090295164,-100.07387976579379
38286.76441959273,-17685.850510131222,-100.07954344247696
38288.053644463755,-17683.060023335107,-100.08520658900488
38289.34266588893,-17680.269442578985,-100.09086920534565
38290.631483861296,-17677.478767877958,-100.09653129147435
38291.92009837424,-17674.68799924633,-100.10219284735554
38293.20850942035,-17671.897136700103,-100.10785387296035
38294.49671699302,-17669.10618025373,-100.11351436826166
38295.78472108623,-17666.31512992015,-100.11917433322796
38297.072521692935,-17663.523985714688,-100.12483376783109
38298.36011880513,-17660.732747654703,-100.13049267203724
38299.647512416894,-17657.94141575311,-100.13615104581972
38300.93470252155,-17655.14999002426,-100.14180888915354
38302.2216891119,-17652.358470483905,-100.1474662019895
38303.508472180845,-17649.566857147332,-100.15312298431469
38304.79505172217,-17646.77515002814,-100.15877923609726
38306.08142772835,-17643.983349142676,-100.16443495730587
38307.36760019328,-17641.1914545041,-100.17009014790928
38308.653569109985,-17638.39946612771,-100.1757448078776
38309.939334470895,-17635.60738402976,-100.18139893718727
38311.22489627025,-17632.815208222895,-100.187052535792
38312.51025450067,-17630.022938723127,-100.19270560367671
38313.79540915494,-17627.230575546233,-100.19835814080548
38315.08036022621,-17624.438118706978,-100.20401014715043
38316.36510770891,-17621.6455682175,-100.20966162268184
38317.64965159594,-17618.852924093324,-100.2153125673712
38318.93399187867,-17616.060186353137,-100.22096298118088
38320.21812855208,-17613.267355007927,-100.22661286409627
38321.50206160961,-17610.47443007195,-100.23226221606683
38322.78579104233,-17607.681411564583,-100.23791103707723
38324.069316846006,-17604.888299495193,-100.24355932709469
38325.352639011806,-17602.0950938829,-100.24920708608634
38326.635757534175,-17599.30179473981,-100.25485431402728
38327.918672405714,-17596.508402082127,-100.26050101088484
38329.20138361928,-17593.714915925328,-100.26614717662937
38330.48389116836,-17590.92133628358,-100.27179281122075
38331.76619504765,-17588.12766316861,-100.27743791465022
38333.04829524774,-17585.333896600718,-100.28308248687124
38334.33019176358,-17582.5400365911,-100.28872652786033
38335.6118845869,-17579.74608315768,-100.29437003758557
38336.89337371225,-17576.952036312396,-100.30001301601769
38338.17465913357,-17574.1578960685,-100.30565546312862
38339.45574084119,-17571.36366244703,-100.31129737888287
