Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km)
2024-07-16 17:30:00-04:00,142.6198885931371,-4.886300223423423,227.0866672485925,34.14746919028084,38248.54097851374
2024-07-16 17:30:00.160000-04:00,142.62055675839565,-4.886321104133759,227.08665236448502,34.14745112379837,38248.54249508081
2024-07-16 17:30:00.320000-04:00,142.6212249218043,-4.886341984925816,227.08663748216586,34.1474330562052,38248.54401174192
2024-07-16 17:30:00.480000-04:00,142.6218930852002,-4.886362865862905,227.08662259977086,34.147414988498596,38248.545528412964
2024-07-16 17:30:00.640000-04:00,142.62256125042717,-4.886383747008366,227.08660771543643,34.147396921675586,38248.54704500981
2024-07-16 17:30:00.800000-04:00,142.6232294138055,-4.886404628235534,227.0865928328902,34.147378853741934,38248.5485617007
2024-07-16 17:30:00.960000-04:00,142.623897577174,-4.886425509607759,227.08657795026548,34.1473607856964,38248.55007840138
2024-07-16 17:30:01.120000-04:00,142.62456574236782,-4.886446391188308,227.08656306570683,34.1473427185313,38248.55159502814
2024-07-16 17:30:01.280000-04:00,142.6252339057159,-4.886467272850561,227.0865481829335,34.14732465025721,38248.55311174879
2024-07-16 17:30:01.440000-04:00,142.62590206721308,-4.886488154594532,227.08653330194443,34.1473065808748,38248.554628563325
2024-07-16 17:30:01.600000-04:00,142.62657023238083,-4.886509036610159,227.0865184171559,34.1472885133709,38248.55614521974
2024-07-16 17:30:01.760000-04:00,142.62723839569722,-4.886529918707488,227.08650353415578,34.147270444756266,38248.55766197019
2024-07-16 17:30:01.920000-04:00,142.62790655900537,-4.886550800949844,227.0864886510769,34.14725237602992,38248.55917873042
2024-07-16 17:30:02.080000-04:00,142.62857472414134,-4.886571683400522,227.08647376606302,34.14723430818466,38248.56069541666
2024-07-16 17:30:02.240000-04:00,142.62924288742755,-4.886592565932874,227.08645888283584,34.14721623922965,38248.562212196885
2024-07-16 17:30:02.400000-04:00,142.6299110507051,-4.886613448610266,227.08644399953027,34.14719817016274,38248.563728986905
2024-07-16 17:30:02.560000-04:00,142.63057921580946,-4.886634331495966,227.08642911429067,34.14718010197636,38248.56524570297
2024-07-16 17:30:02.720000-04:00,142.63124737906534,-4.8866552144633255,227.08641423083657,34.147162032680924,38248.56676251298
2024-07-16 17:30:02.880000-04:00,142.6319155423127,-4.886676097575713,227.08639934730417,34.147143963273564,38248.56827933279
2024-07-16 17:30:03.040000-04:00,142.63258370738683,-4.886696980896407,227.08638446183755,34.14712589474683,38248.56979607861
2024-07-16 17:30:03.200000-04:00,142.6332518706124,-4.88671786429876,227.08636957815668,34.14710782511093,38248.571312918386
2024-07-16 17:30:03.360000-04:00,142.63392003382944,-4.886738747846118,227.08635469439733,34.14708975536321,38248.572829767945
2024-07-16 17:30:03.520000-04:00,142.63458819887467,-4.886759631601793,227.08633980870252,34.14707168649684,38248.57434654352
2024-07-16 17:30:03.680000-04:00,142.63525636207007,-4.886780515439123,227.08632492479452,34.14705361652069,38248.57586341304
2024-07-16 17:30:03.840000-04:00,142.63592452525674,-4.8868013994214285,227.0863100408084,34.14703554643256,38248.57738029238
2024-07-16 17:30:04-04:00,142.6365926902718,-4.88682228361205,227.08629515488656,34.147017477225894,38248.57889709768
2024-07-16 17:30:04.160000-04:00,142.63726085159885,-4.8868431678209765,227.08628027261153,34.1469994059146,38248.5804140809
2024-07-16 17:30:04.320000-04:00,142.63792901475384,-4.8868640522382165,227.08626538839988,34.14698133548532,38248.581930990076
2024-07-16 17:30:04.480000-04:00,142.63859717789754,-4.886884936800413,227.0862505041138,34.14696326494197,38248.58344790921
2024-07-16 17:30:04.640000-04:00,142.63926534287188,-4.886905821570906,227.08623561789108,34.14694519528062,38248.58496475431
2024-07-16 17:30:04.800000-04:00,142.63993350599824,-4.88692670642304,227.08622073345106,34.14692712451193,38248.586481693164
2024-07-16 17:30:04.960000-04:00,142.6406016691127,-4.886947591420142,227.08620584893828,34.146909053628114,38248.58799864208
2024-07-16 17:30:05.120000-04:00,142.6412698340557,-4.886968476625509,227.08619096248856,34.14689098362658,38248.589515516906
2024-07-16 17:30:05.280000-04:00,142.64193799715167,-4.88698936191254,227.08617607782168,34.1468729125176,38248.59103248553
2024-07-16 17:30:05.440000-04:00,142.64260616023734,-4.887010247344491,227.08616119308206,34.14685484129353,38248.59254946421
2024-07-16 17:30:05.600000-04:00,142.64327432515148,-4.887031132984745,227.08614630640284,34.146836770953264,38248.59406636866
2024-07-16 17:30:05.760000-04:00,142.6439424882158,-4.8870520187066,227.08613142151057,34.146818699503186,38248.59558336713
2024-07-16 17:30:05.920000-04:00,142.64461065127122,-4.8870729045733965,227.08611653654398,34.14680062793895,38248.597100375555
2024-07-16 17:30:06.080000-04:00,142.64527881615498,-4.887093790648483,227.08610164963807,34.14678255725833,38248.59861730979
2024-07-16 17:30:06.240000-04:00,142.64594697918773,-4.887114676805172,227.08608676452036,34.146764485467216,38248.60013433805
2024-07-16 17:30:06.400000-04:00,142.6466151422128,-4.887135563106776,227.08607187932716,34.146746413562695,38248.601651376266
