X,Y,Z
-35248.73436334207,23128.756215481102,731.4343740969819
-35249.00433676136,23128.34521193072,731.4203582024941
-35249.27430470931,23127.934206257472,731.4063422433586
-35249.54426785826,23127.523197437815,731.3923261846313
-35249.814226883194,23127.112184444082,731.3783099913458
-35250.08418043721,23126.701169326923,731.3642937334247
-35250.3541291932,23126.290151061858,731.3502773759042
-35250.62407382291,23125.87912862607,731.336260883836
-35250.8940129827,23125.46810406539,731.3222443271455
-35251.16394667043,23125.057077383226,731.3082277058245
-35251.43387690727,23124.646045501882,731.2942109150019
-35251.703801671945,23124.235011499124,731.2801940595461
-35251.973721638984,23123.823974347888,731.2661771045125
-35252.24363748043,23123.41293302471,731.25216001494
-35252.51354785025,23123.001889579467,731.2381428607546
-35252.78345342216,23122.59084298612,731.2241256069841
-35253.053354867974,23122.17979222153,731.2101082186783
-35253.323250842535,23121.76873933437,731.1960907657744
-35253.59314201915,23121.357683299204,731.1820732132917
-35253.86302906948,23120.946623092954,731.1680555262787
-35254.13291064846,23120.535560764343,731.1540377746677
-35254.40278742938,23120.124495287913,731.1400199234926
-35254.67266008442,23119.713425639788,731.1260019377813
-35254.94252726754,23119.302353870182,731.1119838874727
-35255.21238965243,23118.89127895303,731.0979657376198
-35255.48224791135,23118.480199864178,731.0839474532349
-35255.75210002564,23118.06911967878,731.0699291392369
-35256.021948013695,23117.658035322143,731.0559106907077
-35256.29179120246,23117.246947819527,731.0418921426349
-35256.561630265925,23116.83585614413,731.0278734600405
-35256.83146385792,23116.424762346804,731.0138547128769
-35257.10129265033,23116.01366540393,730.9998358661531
-35257.37111731645,23115.602564289726,730.9858168849325
-35257.64093651139,23115.191461053215,730.971797839126
-35257.91075090729,23114.78035467035,730.9577786937872
-35258.180561176625,23114.369244116468,730.9437594139407
-35258.45036597376,23113.958131441963,730.9297400695315
-35258.720165972234,23113.54701562049,730.9157206255842
-35258.98996184395,23113.135895628224,730.9017010471373
-35259.25975224293,23112.72477351617,730.8876814041201
